pause_trigger,duration_measured_img,age,response,pause_trigger_t,ID,img,offset_word,word_score_pc,scan day,rt,correct_resp,duration_frames,session,delay_frames_after,onset_img,word_score_warriner,gender,offset_img,no,delay_frames_before,word_trigger,onset_word,img_trigger,word_label,word,condition,duration_measured_word,key_t
42,0.673487699998077,24,y,483.12576289998833,clem,image_stim_n.png,482.12600759998895,-0.945340141786388,Monday,0.5239130000118166,1,42,3,336,485.1678890999756,5.58,male,485.84137679997366,49,180,13,481.4273197000148,22,neu,tuba,faceWord_exp,0.6986878999741748,485.6918020999874
32,0.6857277000090107,24,y,493.13995480001904,clem,image_stim_n.png,492.1398368999944,1.9197700017151131,Monday,0.35318029997870326,1,42,3,180,497.7523985999869,4.18,male,498.43812629999593,50,336,12,491.4417797999922,22,neg,belch,faceWord_exp,0.6980571000021882,498.1055788999656
32,0.6734062000177801,24,y,503.1369857999962,clem,image_stim_n.png,502.1373395000119,0.33736940436804663,Monday,0.5239135000156239,1,42,3,180,507.76244979997864,4.7,male,508.4358559999964,51,336,12,501.4393429000047,22,neg,radish,faceWord_exp,0.6979966000071727,508.28636329999426
42,0.6792595999431796,24,y,513.1351033999817,clem,image_stim_n.png,512.134973999986,0.1511721542964875,Monday,0.7298100999905728,1,42,3,180,517.7541460000211,5.71,male,518.4334055999643,52,336,13,511.4366031999816,22,neu,sum,faceWord_exp,0.6983708000043407,518.4839561000117
31,0.6866753000067547,24,b,523.1326161000179,clem,image_stim_p.png,522.1325463000103,-1.6019047514101912,Monday,0.5044867999968119,1,42,3,336,525.1449555999716,7.25,male,525.8316308999783,53,180,11,521.4348289999762,21,pos,family,faceWord_exp,0.6977173000341281,525.6494423999684
42,0.6748849999858066,24,y,533.1301832000026,clem,image_stim_n.png,532.1301037999801,0.5062695562835388,Monday,0.47549400001298636,1,42,3,180,537.8035839999793,5.75,male,538.4784689999651,54,336,13,531.4317225000123,22,neu,year,faceWord_exp,0.6983812999678776,538.2790779999923
41,0.6854683000128716,24,b,543.1777359999833,clem,image_stim_p.png,542.1775914999889,0.05858023181365075,Monday,0.4526771000237204,1,42,3,180,547.790640799969,5.1,male,548.4761090999818,55,336,13,541.4797377000214,21,neu,cabinet,faceWord_exp,0.6978537999675609,548.2433178999927
31,0.6862328000133857,24,b,553.1753150000004,clem,image_stim_p.png,552.1751655999688,-1.0841943171680315,Monday,0.7700440000044182,1,42,3,336,555.1880512000062,6.75,male,555.8742840000195,56,180,11,551.4769247999648,21,pos,bird,faceWord_exp,0.6982408000039868,555.9580952000106
32,0.6851658999803476,24,y,563.1727646999643,clem,image_stim_n.png,562.1727708000108,4.2618443246155895,Monday,0.28564439999172464,1,42,3,336,565.1865961999865,2.62,male,565.8717620999669,57,180,12,561.4749917999725,22,neg,shame,faceWord_exp,0.6977790000382811,565.4722405999782
31,0.6759746999596246,24,b,573.1703765999991,clem,image_stim_p.png,572.1702757999883,-2.098490136277324,Monday,0.4433584999642335,1,42,3,180,577.84278180002,7.11,male,578.5187564999796,58,336,11,571.4720627000206,21,pos,rose,faceWord_exp,0.6982130999676883,578.2861402999843
31,0.6842354999971576,24,b,583.2179630000028,clem,image_stim_p.png,582.2178567000083,-1.2126784285084091,Monday,0.48476909997407347,1,42,3,180,587.832071700017,6.75,male,588.5163072000141,59,336,11,581.5203590000165,21,pos,agreement,faceWord_exp,0.6974976999917999,588.316840799991
42,0.6806089999736287,24,y,593.2155976999784,clem,image_stim_n.png,592.2154290999752,-1.7878104403788575,Monday,0.4481963999569416,1,42,3,180,597.8332415000186,5.4,male,598.5138504999923,60,336,13,591.5181456999853,22,neu,harp,faceWord_exp,0.6972833999898285,598.2814378999756
