offset_img,pause_trigger_t,word_score_warriner,age,onset_word,key_t,ID,session,word_score_pc,condition,word_trigger,onset_img,offset_word,gender,duration_measured_img,pause_trigger,duration_frames,delay_frames_after,word,scan day,rt,word_label,correct_resp,no,delay_frames_before,response,duration_measured_word,img,img_trigger
345.6208516089828,342.89467660797527,4.0,23,341.2008809919935,345.60941581596853,1,4,2.7422742606943906,faceWord_exp,12,344.91889341402566,341.8964004680165,female,0.7019581949571148,32,42,336,fallacy,Monday,0.6905224019428715,neg,1,35,180,y,0.695519476023037,image_stim_n.png,22
358.2244817580213,352.9044118360034,7.0,23,351.2110966690234,358.32685311400564,1,4,-1.7294291477603156,faceWord_exp,11,357.52227853698423,351.90629060397623,female,0.7022032210370526,31,42,180,dog,Monday,0.8045745770214126,pos,1,36,336,b,0.6951939349528402,image_stim_p.png,21
368.2342916050111,362.9140780309681,5.09,23,361.22080951201497,368.30553029099246,1,4,0.3545861367636661,faceWord_exp,13,367.5317859110073,361.91578858101275,female,0.7025056940037757,41,42,180,put,Monday,0.7737443799851462,neu,1,37,336,b,0.6949790689977817,image_stim_p.png,21
375.6501309640007,372.9239591329824,5.38,23,371.23402159201214,375.56974860600894,1,4,0.6669259665908855,faceWord_exp,13,374.9496706639766,371.9258462790167,female,0.7004603000241332,41,42,336,businessman,Monday,0.620077942032367,neu,1,38,180,b,0.691824687004555,image_stim_p.png,21
388.2540971849812,382.9335956199793,6.42,23,381.2405643759994,388.1592419350054,1,4,-1.6859102219357711,faceWord_exp,11,387.55060498800594,381.93547184497584,female,0.7034921969752759,31,42,180,truce,Monday,0.6086369469994679,pos,1,39,336,b,0.694907468976453,image_stim_p.png,21
395.6529956419836,392.9430488999933,5.85,23,391.25027478596894,395.505912943976,1,4,-2.547043884761341,faceWord_exp,13,394.96633367601316,391.94499454897596,female,0.6866619659704156,41,42,336,circus,Monday,0.5395792679628357,neu,1,40,180,b,0.694719763007015,image_stim_p.png,21
405.662675080006,402.9371162169846,6.15,23,401.24332869099453,405.46797037299257,1,4,-1.883093263099396,faceWord_exp,11,404.9613702999777,401.93799384200247,female,0.7013047800282948,31,42,336,choir,Monday,0.5066000730148517,pos,1,41,180,b,0.6946651510079391,image_stim_p.png,21
418.2665107829962,412.9462353269919,5.95,23,411.254901762004,418.16938624199247,1,4,0.1872293205875,faceWord_exp,13,417.5633402590174,411.948042102973,female,0.7031705239787698,42,42,180,elevator,Monday,0.6060459829750471,neu,1,42,336,y,0.6931403409689665,image_stim_n.png,22
428.2596139649977,422.9560005199746,6.84,23,421.263125522004,428.2453695309814,1,4,-2.93465986085152,faceWord_exp,11,427.5712518679793,421.9578783949837,female,0.6883620970183983,31,42,180,festival,Monday,0.6741176630021073,pos,1,43,336,b,0.6947528729797341,image_stim_p.png,21
438.2692824379774,432.9490100980038,6.26,23,431.2556299379794,438.2413675559801,1,4,-1.426145970237633,faceWord_exp,11,437.5662895090063,431.95082835596986,female,0.7029929289710708,31,42,180,lust,Monday,0.6750780469737947,pos,1,44,336,b,0.6951984179904684,image_stim_p.png,21
445.6849256440182,442.9587307689944,3.52,23,441.2658895140048,445.7205392390024,1,4,2.0765857872261098,faceWord_exp,12,444.9825491689844,441.960726868012,female,0.702376475033816,32,42,336,court,Monday,0.737990070017986,neg,1,45,180,y,0.694837354007177,image_stim_n.png,22
