no,ID,condition,img,word_score_pc,onset_img,duration_frames,pause_trigger,session,word_label,gender,pause_trigger_t,duration_measured_img,correct_resp,word_score_warriner,img_trigger,delay_frames_before,onset_word,offset_img,response,delay_frames_after,duration_measured_word,scan day,word_trigger,rt,offset_word,key_t,word,age
34,KKF,faceWord_exp,image_stim_p.png,-1.883093263099396,335.59845464799946,42,31,4,pos,female,333.5723582600003,0.6900238729995181,1,6.15,21,180,331.87660412199875,336.288478520999,b,336,0.6951293010006339,Monday,11,1.0087842920002004,332.5717334229994,336.60723893999966,choir,21
35,KKF,faceWord_exp,image_stim_n.png,3.4698173961771306,345.6146138849999,42,32,4,neg,female,343.58885779400043,0.6904372179997154,1,3.4,22,180,341.89299544700043,346.30505110299964,y,336,0.6951632979998976,Monday,12,0.5254505039993091,342.5881587450003,346.14006438899924,animosity,21
36,KKF,faceWord_exp,image_stim_p.png,0.4395766978022416,355.63158953699894,42,41,4,neu,female,353.60559062599896,0.6893992260011146,1,5.67,21,180,351.90880507399925,356.32098876300006,b,336,0.6960949580006854,Monday,13,0.525380615999893,352.60490003199993,356.15697015299884,red,21
37,KKF,faceWord_exp,image_stim_p.png,0.0196438746392397,368.25056299599964,42,41,4,neu,female,363.62150402599946,0.7041808239991951,1,5.95,21,336,361.926782483999,368.95474381999884,b,180,0.6946248960011872,Monday,13,0.3909244009992108,362.62140738000016,368.64148739699885,worker,21
38,KKF,faceWord_exp,image_stim_n.png,0.7532200949518182,378.281227043999,42,32,4,neg,female,373.6549279720002,0.6900670049999462,1,4.19,22,336,371.9585067629996,378.97129404899897,y,180,0.6959277290006867,Monday,12,0.3268488250014343,372.6544344920003,378.60807586900046,loan,21
39,KKF,faceWord_exp,image_stim_n.png,-0.10198134801944247,388.29738720899877,42,32,4,neg,female,383.67128446099923,0.6900835910000751,1,4.16,22,336,381.9747480749993,388.98747079999885,y,180,0.6963033450010698,Monday,12,0.6748449410006288,382.67105142000037,388.9722321499994,saw,21
40,KKF,faceWord_exp,image_stim_p.png,-2.411716547027706,395.71386699600043,42,31,4,pos,female,393.68817697099985,0.6904632699988724,1,7.3,21,180,391.9913763120003,396.4043302659993,b,336,0.6961000989995227,Monday,11,0.5259853629995632,392.6874764109998,396.239852359,flower,21
41,KKF,faceWord_exp,image_stim_p.png,-3.0311112754680245,405.7307265999989,42,31,4,pos,female,403.70485867499883,0.6901453360005689,1,7.75,21,180,402.00885935800034,406.42087193599946,b,336,0.6948960659992736,Monday,11,0.6424516690003657,402.7037554239996,406.37317826899925,peace,21
42,KKF,faceWord_exp,image_stim_n.png,4.2176174504439885,418.3473371700002,42,32,4,neg,female,413.72129738500007,0.6900419989997317,1,2.62,22,336,412.0254859830002,419.0373791689999,y,180,0.695225045999905,Monday,12,0.2912378909986728,412.7207110290001,418.63857506099885,insult,21
43,KKF,faceWord_exp,image_stim_n.png,0.060511318752979076,425.76383038699896,42,32,4,neg,female,423.73778202799986,0.6900566310014256,1,4.83,22,180,422.04110387999935,426.4538870180004,y,336,0.695374143000663,Monday,12,0.5933453580000787,422.736478023,426.35717574499904,pig,21
