gender,pause_trigger,duration_frames,duration_measured_img,session,word_score_warriner,key_t,img,word_score_pc,delay_frames_before,scan day,pause_trigger_t,onset_img,rt,word,delay_frames_after,offset_word,response,correct_resp,condition,age,offset_img,onset_word,word_label,duration_measured_word,ID,no,img_trigger,word_trigger
female,32,42,0.7023086000008334,2,4.1,476.8304150999975,image_stim_n.png,1.472290472628449,180,Monday,474.19722479999837,476.226956399998,0.6034586999994644,clang,336,473.1967479999985,y,1,faceWord_exp,20,476.92926499999885,472.5026904999977,neg,0.6940575000007811,T1572,48,22,12
female,42,42,0.7027826999983517,2,5.48,489.39454059999844,image_stim_n.png,-0.06058349899147484,336,Monday,484.228599099999,488.8572110999994,0.5373294999990321,business,180,483.2280059000004,y,1,faceWord_exp,20,489.55999379999776,482.53488540000035,neu,0.6931205000000773,T1572,49,22,13
female,31,42,0.7027200000011362,2,7.88,496.9263342999984,image_stim_p.png,-1.8879163634684628,180,Monday,494.2598727000004,496.28919419999875,0.6371400999996695,joke,336,493.25929349999933,b,1,faceWord_exp,20,496.9919141999999,492.56462349999856,pos,0.6946700000007695,T1572,50,21,11
female,31,42,0.7025018999993335,2,6.81,509.4237222999982,image_stim_p.png,-1.5621536719325724,336,Monday,504.29171999999744,508.9201232999985,0.5035989999996673,sailboat,180,503.29058859999714,b,1,faceWord_exp,20,509.62262519999786,502.59702059999836,pos,0.6935679999987769,T1572,51,21,11
female,32,42,0.7026703000010457,2,4.75,519.5051719999974,image_stim_n.png,1.0482300490198866,336,Monday,514.3224480999997,518.9513195999971,0.5538524000003235,ricochet,180,513.3218433000002,y,1,faceWord_exp,20,519.6539898999981,512.6284462999974,neg,0.693397000002733,T1572,52,22,12
female,31,42,0.7015170000013313,2,6.76,527.0368395999976,image_stim_p.png,-1.2978987804410356,180,Monday,524.3537384999981,526.384142699997,0.652696900000592,artist,336,523.3530877999983,b,1,faceWord_exp,20,527.0856596999984,522.6592782999978,pos,0.6938095000004978,T1572,53,21,11
female,31,42,0.7028317999975116,2,6.36,539.517510499998,image_stim_p.png,-1.2502658664257256,336,Monday,534.3849889999983,539.0136590000002,0.5038514999978361,day,180,533.3843958999969,b,1,faceWord_exp,20,539.7164907999977,532.6896085999979,pos,0.6947872999990068,T1572,54,21,11
female,31,42,0.7028742000002239,2,6.4,549.5488444999974,image_stim_p.png,-1.0752281295040744,336,Monday,544.4161968999979,549.0447991000001,0.5040453999972669,mercy,180,543.4156377999971,b,1,faceWord_exp,20,549.7476733000003,542.7216760999981,pos,0.6939616999989084,T1572,55,21,11
female,32,42,0.702831900001911,2,4.78,559.6135547999984,image_stim_n.png,1.3393636650983416,336,Monday,554.4476198999982,559.0762007999983,0.5373540000000503,heavy,180,553.4469564999999,y,1,faceWord_exp,20,559.7790327000002,552.7534153999986,neg,0.6935411000013119,T1572,56,22,12
female,41,42,0.7026465000017197,2,5.27,569.7446821999984,image_stim_p.png,0.17918122123944408,336,Monday,564.479244099999,569.1076708999972,0.637011300001177,verb,180,563.4784058999976,b,1,faceWord_exp,20,569.8103173999989,562.7836395999984,neu,0.6947662999991735,T1572,57,21,13
female,32,42,0.7028903999998874,2,4.81,579.7093296999992,image_stim_n.png,0.5494484707734639,336,Monday,574.5102931999972,579.1387333999992,0.5705963000000338,stone,180,573.5096892000001,y,1,faceWord_exp,20,579.8416237999991,572.8157259,neg,0.6939633000001777,T1572,58,22,12
female,31,42,0.7023083999993105,2,7.5,587.1416771000004,image_stim_p.png,-1.7608811602119443,180,Monday,584.541400099999,586.5709805999977,0.5706965000026685,summer,336,583.5407357000004,b,1,faceWord_exp,20,587.273288999997,582.8472674999975,pos,0.693468200002826,T1572,59,21,11
female,32,42,0.7029150000016671,2,4.57,599.6885789999978,image_stim_n.png,0.2032181950076048,336,Monday,594.572693099999,599.2014659999986,0.4871129999992263,lab,180,593.572225699998,y,1,faceWord_exp,20,599.9043810000003,592.8771194999972,neg,0.6951062000007369,T1572,60,22,12
