pause_trigger,correct_resp,offset_word,word,word_score_warriner,img,word_trigger,duration_measured_img,onset_img,delay_frames_before,duration_frames,gender,rt,session,ID,delay_frames_after,scan day,word_score_pc,no,duration_measured_word,img_trigger,response,key_t,word_label,age,onset_word,offset_img,pause_trigger_t,condition
41,1,483.4020966999233,hall,5.89,image_stim_p.png,13,0.6981892000185326,489.04279269999824,336,42,female,0.6142074000090361,4,Dolly,180,Monday,0.4398740830446768,49,0.693144999910146,21,b,489.6570001000073,neu,23,482.70895170001313,489.7409819000168,484.40532799996436,faceWord_exp
41,1,493.4429508999456,boy,5.84,image_stim_p.png,13,0.6906485999934375,499.0730735999532,336,42,female,0.5084181999554858,4,Dolly,180,Monday,-0.9031069202434168,50,0.6930616999743506,21,b,499.5814917999087,neu,23,492.7498891999712,499.76372219994664,494.44456099998206,faceWord_exp
42,1,503.4662434000056,elevator,5.95,image_stim_n.png,13,0.6940291000064462,509.09237909992225,336,42,female,0.5616329000331461,4,Dolly,180,Monday,0.1872293205875,51,0.6921062000328675,22,y,509.6540119999554,neu,23,502.77413719997276,509.7864081999287,504.4666679999791,faceWord_exp
42,1,513.4898982999148,mouth,5.59,image_stim_n.png,13,0.6837022000690922,519.1275743999286,336,42,female,0.5512216000352055,4,Dolly,180,Monday,-0.05436507667908295,52,0.695555999991484,22,y,519.6787959999638,neu,23,512.7943422999233,519.8112765999977,514.4914651999716,faceWord_exp
31,1,523.513416599948,trust,7.24,image_stim_p.png,11,0.6992686999728903,529.1523605999537,336,42,female,0.9852065000450239,4,Dolly,180,Monday,-2.1205664047688315,53,0.6917171999812126,21,b,530.1375670999987,pos,23,522.8216993999667,529.8516292999266,524.5152691999683,faceWord_exp
31,1,533.5540199999232,banjo,6.35,image_stim_p.png,11,0.6838770000031218,536.5890974999638,180,42,female,0.4686054999474436,4,Dolly,336,Monday,-1.2316584124512135,54,0.692221499979496,21,b,537.0577029999113,pos,23,532.8617984999437,537.272974499967,534.5555684999563,faceWord_exp
31,1,543.5777057999512,bread,6.52,image_stim_p.png,11,0.6846919000381604,546.6121467999183,180,42,female,0.5023505000863224,4,Dolly,336,Monday,-1.5215329943370883,55,0.6921430999645963,21,b,547.1144973000046,pos,23,542.8855626999866,547.2968386999564,544.578875200008,faceWord_exp
31,1,553.6006655999226,flower,7.3,image_stim_p.png,11,0.6978858000366017,556.6392705999315,180,42,female,0.4824480999959633,4,Dolly,336,Monday,-2.411716547027706,56,0.6923557999543846,21,b,557.1217186999274,pos,23,552.9083097999683,557.3371563999681,554.6026856999379,faceWord_exp
31,1,563.6414671000093,parent,6.73,image_stim_p.png,11,0.6990195999387652,566.6779931000201,180,42,female,0.5169948999537155,4,Dolly,336,Monday,-1.2094761189992442,57,0.6923845000565052,21,b,567.1949879999738,pos,23,562.9490825999528,567.3770126999589,564.6439480999252,faceWord_exp
32,1,573.6810730999568,empty,3.78,image_stim_n.png,12,0.6973024000180885,576.7197623999091,180,42,female,0.6152495000278577,4,Dolly,336,Monday,2.8496222967354625,58,0.6919258999405429,22,y,577.335011899937,neg,23,572.9891472000163,577.4170647999272,574.6830828000093,faceWord_exp
42,1,583.722199199954,hand,5.9,image_stim_n.png,13,0.6969657000154257,589.3624239999335,336,42,female,0.5815384000306949,4,Dolly,180,Monday,-0.29144085929118746,59,0.6939586999360472,22,y,589.9439623999642,neu,23,583.028240500018,590.059389699949,584.7231468999526,faceWord_exp
31,1,593.7618185000028,bay,7.23,image_stim_p.png,11,0.6864912000019103,596.7948468999239,180,42,female,0.5708542000502348,4,Dolly,336,Monday,-1.17416436554964,60,0.6941634000977501,21,b,597.3657010999741,pos,23,593.0676550999051,597.4813380999258,594.7631568999495,faceWord_exp
