onset_img,duration_measured_word,delay_frames_after,word,word_label,onset_word,rt,key_t,img_trigger,pause_trigger,gender,word_score_pc,duration_frames,no,word_trigger,word_score_warriner,offset_img,response,offset_word,age,session,img,ID,delay_frames_before,condition,scan day,pause_trigger_t,correct_resp,duration_measured_img
378.08652157196775,0.6957051010103896,180,corn,neu,371.7717437489773,0.5187194549944252,378.6052410269622,22,42,female,-1.235914274808286,42,38,13,5.95,378.7852567649679,y,372.4674488499877,23,5,image_stim_n.png,1,336,faceWord_exp,Monday,373.46543587796623,1,0.6987351930001751
385.5087981959805,0.6922830230323598,336,grief,neg,381.7841719359858,0.6654730259906501,386.17427122197114,22,32,female,4.735833249102137,42,39,12,2.33,386.2017930090078,y,382.47645495901816,23,5,image_stim_n.png,1,180,faceWord_exp,Monday,383.4748285319656,1,0.692994813027326
395.5137904669973,0.6944586010067724,336,tulip,pos,391.7914805529872,0.6834184369654395,396.19720890396275,21,31,female,-2.547338598571031,42,40,11,7.25,396.210989544983,b,392.48593915399397,23,5,image_stim_p.png,1,180,faceWord_exp,Monday,393.4844025070197,1,0.6971990779857151
408.11420448101126,0.6956308200024068,180,friendly,pos,401.80110201396747,0.6057620469946414,408.7199665280059,21,31,female,-2.9544920916265727,42,41,11,7.84,408.81426587101305,b,402.4967328339699,23,5,image_stim_p.png,1,336,faceWord_exp,Monday,403.49503355199704,1,0.7000613900017925
415.52928248996614,0.6953107650042512,336,penguin,pos,411.81115423497977,0.5382788230199367,416.0675613129861,21,31,female,-1.2194148821621404,42,42,11,6.65,416.23131784098223,b,412.506464999984,23,5,image_stim_p.png,1,180,faceWord_exp,Monday,413.5045640229946,1,0.702035351016093
425.54363585601095,0.6937399960006587,336,jealousy,neg,421.8216952139628,-2.4405415700166486,423.1030942859943,22,32,female,3.693241029119933,42,43,12,2.58,426.24013389099855,b,422.51543520996347,23,5,image_stim_n.png,1,180,faceWord_exp,Monday,423.51333139499184,0,0.6964980349875987
435.5531036219909,0.6941716590081342,336,election,neg,431.83157638297416,0.6330305819865316,436.1861342039774,22,32,female,0.5712560851538326,42,44,12,4.5,436.24966789298924,y,432.5257480419823,23,5,image_stim_n.png,1,180,faceWord_exp,Monday,433.5235561589943,1,0.6965642709983513
445.5579120439943,0.6947298030136153,336,dangerous,neg,441.8410928249941,0.6082545489771292,446.1661665929714,22,32,female,3.17672342877373,42,45,12,2.33,446.26024569699075,y,442.53582262800774,23,5,image_stim_n.png,1,180,faceWord_exp,Monday,443.5340831509675,1,0.7023336529964581
458.1659098039963,0.6954494809615426,180,tangerine,pos,451.8492244100198,-0.8465129850083031,457.319396818988,21,31,female,-1.178487968131687,42,46,11,6.81,458.86361223401036,b,452.54467389098136,23,5,image_stim_p.png,1,336,faceWord_exp,Monday,453.5429398730048,1,0.6977024300140329
465.5830331799807,0.6921645869733766,336,dictation,neg,461.8619234020007,0.6315736530232243,466.2146068330039,22,32,female,0.7498341013103271,42,47,12,4.26,466.2790106869652,b,462.55408798897406,23,5,image_stim_n.png,1,180,faceWord_exp,Monday,463.55255509499693,0,0.6959775069844909
