age,word_trigger,correct_resp,onset_word,response,session,ID,word_label,word,pause_trigger_t,gender,offset_word,word_score_warriner,no,img,offset_img,onset_img,condition,key_t,img_trigger,word_score_pc,duration_frames,rt,delay_frames_after,scan day,duration_measured_img,delay_frames_before,pause_trigger,duration_measured_word
22,13,1,482.36001699999906,b,2,AHJ,neu,power,484.05435390002094,male,483.05390759999864,5.97,49,image_stim_p.png,489.38374089996796,488.68057139997836,faceWord_exp,488.9851073999889,21,-0.02119054453060663,42,0.3045360000105575,180,Monday,0.703169499989599,336,41,0.6938905999995768
22,13,1,492.3879910999676,b,2,AHJ,neu,store,494.08186889998615,male,493.08165979996556,5.94,50,image_stim_p.png,499.4118497999734,498.70819570001913,faceWord_exp,499.16261399997165,21,-0.8400509032218062,42,0.4544182999525219,180,Monday,0.7036540999542922,336,41,0.6936686999979429
22,13,0,502.41479150002124,b,2,AHJ,neu,pan,504.10970969998743,male,503.1095755000133,5.15,51,image_stim_n.png,506.8410250999732,506.13709450000897,faceWord_exp,506.49195090000285,22,0.3296196251321362,42,0.35485639999387786,336,Monday,0.7039305999642238,180,42,0.6947839999920689
22,12,1,512.4434832999832,y,2,AHJ,neg,excuse,514.1376808999921,male,513.1371744999778,4.52,52,image_stim_n.png,516.8683967000106,516.1647577999975,faceWord_exp,516.9701452999725,22,2.373388118792564,42,0.8053874999750406,336,Monday,0.7036389000131749,180,32,0.693691199994646
22,12,1,522.4702919999836,y,2,AHJ,neg,van,524.1654393000063,male,523.165057700011,4.43,53,image_stim_n.png,526.8961593999993,526.192630000005,faceWord_exp,526.6643628000165,22,-0.14866519221167074,42,0.47173280001152307,336,Monday,0.7035293999942951,180,32,0.6947657000273466
22,12,1,532.4997969999677,y,2,AHJ,neg,clang,534.1929758000188,male,533.1928515000036,4.1,54,image_stim_n.png,539.5225146000157,538.8189560999745,faceWord_exp,539.2408721999964,22,1.472290472628449,42,0.4219161000219174,180,Monday,0.7035585000412539,336,32,0.6930545000359416
22,13,1,542.5272168999654,y,2,AHJ,neu,business,544.2206123999786,male,543.2207588999881,5.48,55,image_stim_n.png,546.9518163999892,546.2511547000031,faceWord_exp,546.7528087999672,22,-0.06058349899147484,42,0.5016540999640711,336,Monday,0.7006616999860853,180,42,0.6935420000227168
22,13,1,552.554964400013,y,2,AHJ,neu,scissors,554.2482298999676,male,553.2480425999966,5.03,56,image_stim_n.png,559.5781401999993,558.8759343000129,faceWord_exp,559.4294265999924,22,0.4272037094573085,42,0.5534922999795526,180,Monday,0.7022058999864385,336,42,0.6930781999835745
22,12,1,562.5822280999855,y,2,AHJ,neg,stone,564.2761774999672,male,563.2761004000204,4.81,57,image_stim_n.png,569.6056169999647,568.9036833000137,faceWord_exp,569.3736435999745,22,0.5494484707734639,42,0.46996029996080324,180,Monday,0.7019336999510415,336,32,0.6938723000348546
22,11,1,572.6092682000017,b,2,AHJ,pos,tree,574.3038589999778,male,573.3035788999987,7.59,58,image_stim_p.png,579.6333963999641,578.9318641999853,faceWord_exp,579.234789900016,21,-1.3695211950901562,42,0.30292570003075525,180,Monday,0.7015321999788284,336,31,0.6943106999970041
22,12,1,582.6382267000154,y,2,AHJ,neg,angry,584.3315716999932,male,583.3316257999977,2.53,59,image_stim_n.png,589.6612148999702,588.9593384999898,faceWord_exp,589.2459355000174,22,3.4296451702105397,42,0.28659700002754107,180,Monday,0.7018763999803923,336,32,0.6933990999823436
22,12,1,592.6653622000013,y,2,AHJ,neg,cough,594.3593316000188,male,593.3589924999978,3.57,60,image_stim_n.png,599.6892151999637,598.9872988999705,faceWord_exp,599.2736035999842,22,2.483224745184551,42,0.2863047000137158,180,Monday,0.7019162999931723,336,32,0.6936302999965847
