word_score_warriner,duration_measured_word,delay_frames_after,gender,age,delay_frames_before,word_label,correct_resp,word,duration_measured_img,key_t,no,response,pause_trigger_t,offset_img,ID,img,word_trigger,scan day,img_trigger,pause_trigger,onset_word,condition,duration_frames,rt,session,onset_img,offset_word,word_score_pc
5.22,0.6900714002549648,336,female,21,180,neu,1,noun,0.6884298999793828,447.4240231998265,45,y,444.95578119996935,447.7041887999512,sha,image_stim_n.png,13,Monday,22,42,443.2646075999364,faceWord_exp,42,0.4082642998546362,1,447.01575889997184,443.9546790001914,0.11872473318936595
4.5,0.6880463999696076,180,female,21,336,neg,1,gasp,0.688801100011915,460.0398766002618,46,y,455.005389300175,460.3701813002117,sha,image_stim_n.png,12,Monday,22,32,453.31828879984096,faceWord_exp,42,0.3584964000619948,1,459.6813802001998,454.00633519981056,1.3014161644429498
5.42,0.6890553003177047,180,female,21,336,neu,1,treaty,0.6872580000199378,470.1860616002232,47,y,465.0707017001696,470.418827699963,sha,image_stim_n.png,13,Monday,22,42,463.3803508998826,faceWord_exp,42,0.454491900280118,1,469.73156969994307,464.0694062002003,-0.7213913907893977
6.47,0.6908825002610683,180,female,21,336,pos,1,oak,0.6850039004348218,480.267864999827,48,b,475.1187348999083,480.45117160025984,sha,image_stim_p.png,11,Monday,21,31,473.4264303999953,faceWord_exp,42,0.5016973000019789,1,479.766167699825,474.11731290025637,-1.0543324261381863
3.63,0.6892376998439431,180,female,21,336,neg,1,tornado,0.6812628000043333,490.1170931002125,49,y,485.1508347000927,490.4820015998557,sha,image_stim_n.png,12,Monday,22,32,483.4601515000686,faceWord_exp,42,0.31635430036112666,1,489.8007387998514,484.14938919991255,3.6605330306018913
8.0,0.6898939004167914,336,female,21,180,pos,0,love,0.6882198001258075,497.7504821000621,50,y,495.18252559984103,497.9325907002203,sha,image_stim_p.png,11,Monday,21,31,493.4919182998128,faceWord_exp,42,0.5061111999675632,1,497.2443709000945,494.1818122002296,-2.40140153221556
5.44,0.6886772997677326,336,female,21,180,neu,1,bridge,0.6865312000736594,507.88319170009345,51,b,505.2316026999615,507.980399500113,sha,image_stim_p.png,13,Monday,21,41,503.5421163002029,faceWord_exp,42,0.589323400054127,1,507.2938683000393,504.23079359997064,0.1935892361901769
4.55,0.6844763997942209,336,female,21,180,neg,0,meeting,0.6897541000507772,517.7987542999908,52,b,515.2801697999239,518.0302884001285,sha,image_stim_n.png,12,Monday,22,32,513.5946777001955,faceWord_exp,42,0.45821999991312623,1,517.3405343000777,514.2791540999897,0.7573178762670367
5.16,0.6898109000176191,180,female,21,336,neu,1,truck,0.6906273001804948,530.4964159000665,53,b,525.3298851000145,530.6953790001571,sha,image_stim_p.png,13,Monday,21,41,523.6381891001947,faceWord_exp,42,0.4916642000898719,1,530.0047516999766,524.3280000002123,-0.5907285556577869
5.42,0.6901380000635982,180,female,21,336,neu,1,man,0.6890300000086427,540.460735599976,54,b,535.394038700033,540.7430762001313,sha,image_stim_p.png,13,Monday,21,41,533.7034648000263,faceWord_exp,42,0.40668939985334873,1,540.0540462001227,534.3936028000899,-0.277657621999038
5.26,0.6882456997409463,336,female,21,180,neu,1,corkscrew,0.6872402001172304,548.045011300128,55,b,545.444059100002,548.1922748000361,sha,image_stim_p.png,13,Monday,21,41,543.7543966001831,faceWord_exp,42,0.5399767002090812,1,547.5050345999189,544.442642299924,-0.3369766028281135
2.67,0.6893158000893891,336,female,21,180,neg,1,lonely,0.6875319997780025,557.8435629000887,56,y,555.4917998998426,558.2413780000061,sha,image_stim_n.png,12,Monday,22,32,553.8010315001011,faceWord_exp,42,0.2897168998606503,1,557.5538460002281,554.4903473001905,4.010420717126172
4.65,0.6897976002655923,180,female,21,336,neg,1,diplomat,0.67686009965837,570.6417200001888,57,y,565.5380402998999,570.8893936998211,sha,image_stim_n.png,12,Monday,22,32,563.8505394998938,faceWord_exp,42,0.429186400026083,1,570.2125336001627,564.5403371001594,0.13451130194660302
7.0,0.683604400139302,336,female,21,180,pos,1,zoo,0.6929730996489525,578.0570076000877,58,b,575.58893969981,578.3384369998239,sha,image_stim_p.png,11,Monday,21,31,573.9047212000005,faceWord_exp,42,0.4115436999127269,1,577.645463900175,574.5883256001398,-2.1296901000704778
7.25,0.6882273000665009,180,female,21,336,pos,1,garden,0.6792770000174642,590.6549773002043,59,b,585.637666599825,590.9869482000358,sha,image_stim_p.png,11,Monday,21,31,583.948339200113,faceWord_exp,42,0.34730610018596053,1,590.3076712000184,584.6365665001795,-2.3673221107876317
6.85,0.6902570002712309,336,female,21,180,pos,1,moral,0.6788955996744335,598.2377655999735,60,b,595.687131000217,598.4359046998434,sha,image_stim_p.png,11,Monday,21,31,593.9950514999218,faceWord_exp,42,0.48075649980455637,1,597.757009100169,594.6853085001931,-1.1443669013398097
