correct_resp,img,no,condition,word_label,session,pause_trigger,response,gender,duration_measured_img,word_score_warriner,duration_measured_word,onset_img,key_t,pause_trigger_t,rt,duration_frames,onset_word,scan day,ID,word,age,delay_frames_after,img_trigger,offset_word,delay_frames_before,offset_img,word_score_pc,word_trigger
1,image_stim_n.png,50,faceWord_exp,neg,3,32,y,female,0.7020407800446264,2.81,0.694774426985532,495.0820727070095,495.6897597410134,493.05772573599825,0.6076870340039022,42,491.36485063203145,Monday,1,malice,23,336,22,492.059625059017,180,495.7841134870541,3.6887696102955196,12
1,image_stim_p.png,51,faceWord_exp,pos,3,31,b,female,0.6879112160531804,7.11,0.6953942200052552,507.6831646049977,508.63999809901,503.06738562800456,0.956833494012244,42,501.3739055870101,Monday,1,rose,23,180,21,502.06929980701534,336,508.3710758210509,-2.098490136277324,11
1,image_stim_p.png,52,faceWord_exp,pos,3,31,b,female,0.700565216015093,6.26,0.6949811670347117,515.0867833780358,515.9746274850331,513.0606299620122,0.8878441069973633,42,511.367429498001,Monday,1,fountain,23,336,21,512.0624106650357,180,515.7873485940509,-2.0727743906520253,11
1,image_stim_n.png,53,faceWord_exp,neg,3,32,y,female,0.698559389973525,4.59,0.6956345030339435,527.6919899370405,528.2272428330034,523.0703659450519,0.5352528959629126,42,521.3765381110134,Monday,1,volcano,23,180,22,522.0721726140473,336,528.390549327014,2.1987551193617842,12
1,image_stim_n.png,54,faceWord_exp,neg,3,32,y,female,0.6936731919995509,3.95,0.6949882530025207,537.7066408790415,538.3896176800481,533.0801322780317,0.6829768010065891,42,531.3868894210318,Monday,1,dusty,23,180,22,532.0818776740343,336,538.4003140710411,1.8802224749820768,12
1,image_stim_p.png,55,faceWord_exp,pos,3,31,b,female,0.6953539309906773,6.75,0.6952236390206963,547.7146847450058,548.6125008430099,543.0897677870234,0.8978160980041139,42,541.3964339750237,Monday,1,bird,23,180,21,542.0916576140444,336,548.4100386759965,-1.0841943171680315,11
1,image_stim_n.png,56,faceWord_exp,neg,3,32,y,female,0.700740534986835,3.37,0.6920675219735131,555.1254680270213,555.8622518380289,553.0996211310267,0.7367838110076264,42,551.4092981770518,Monday,1,tobacco,23,336,22,552.1013656990253,180,555.8262085620081,2.411295736651624,12
1,image_stim_n.png,57,faceWord_exp,neg,3,32,y,female,0.6872383540030569,3.47,0.6947018249775283,565.1318681410048,565.9236446770374,563.10933621804,0.7917765360325575,42,561.4163983450271,Monday,1,cyclone,23,336,22,562.1111001700046,180,565.8191064950079,3.583082910341294,12
1,image_stim_n.png,58,faceWord_exp,neu,3,42,y,female,0.6874665319919586,5.61,0.6940762610174716,577.7185295780073,578.2586285599973,573.1024225780275,0.5400989819900133,42,571.4101826400147,Monday,1,witness,23,180,22,572.1042589010322,336,578.4059961099993,0.5990623206044929,13
1,image_stim_n.png,59,faceWord_exp,neu,3,42,y,female,0.6875181359937415,5.95,0.690884998999536,587.7116304210504,588.2878346650396,583.0955259000184,0.5762042439891957,42,581.4064498750377,Monday,1,egg,23,180,22,582.0973348740372,336,588.3991485570441,-0.6884171372613734,13
1,image_stim_p.png,60,faceWord_exp,pos,3,31,b,female,0.6875164039665833,6.62,0.6949568199925125,597.7046617960441,598.2450672730338,593.0886131100124,0.5404054769896902,42,591.3955355230137,Monday,1,goldfish,23,180,21,592.0904923430062,336,598.3921782000107,-1.0930411682114536,11
