condition,word,word_trigger,response,delay_frames_after,scan day,gender,duration_measured_img,img,offset_img,pause_trigger,word_score_warriner,age,ID,no,img_trigger,duration_measured_word,word_label,duration_frames,onset_img,delay_frames_before,correct_resp,key_t,offset_word,onset_word,session,rt,word_score_pc,pause_trigger_t
faceWord_exp,fountain,11,b,180,Monday,female,0.6902284450006846,image_stim_p.png,368.9315302600007,31,6.26,21,KKF,37,21,0.6955078779992618,pos,42,368.24130181500004,336,1,368.8188593970008,362.615287306,361.91977942800077,3,0.5775575820007361,-2.0727743906520253,363.6152391939995
faceWord_exp,voter,12,y,336,Monday,female,0.7038684600011038,image_stim_n.png,376.3646815860011,32,4.85,21,KKF,38,22,0.6928949039993313,neg,42,375.660813126,180,1,376.1679339940001,372.6313279799997,371.93843307600036,3,0.5071208680001291,-0.3331872788781821,373.6318079390003
faceWord_exp,advantage,11,b,180,Monday,female,0.6907725670007494,image_stim_p.png,388.9811707860008,31,6.71,21,KKF,39,21,0.6959954249996372,pos,42,388.29039821900005,336,1,388.6671556330002,382.66456844300046,381.9685730180008,3,0.37675741400016705,-1.2474567486001964,383.66533321600036
faceWord_exp,island,11,b,336,Monday,female,0.6901587629999995,image_stim_p.png,396.39749962399947,31,7.18,21,KKF,40,21,0.6958734380004898,pos,42,395.70734086099947,180,1,396.25090682100017,392.68137849900086,391.98550506100037,3,0.5435659600007057,-1.7760144816699572,393.68183892900015
faceWord_exp,dusty,12,y,180,Monday,female,0.6906709830000182,image_stim_n.png,409.01460666000094,32,3.95,21,KKF,41,22,0.6959776450003119,neg,42,408.3239356770009,336,1,408.9008072180004,402.697834042001,402.00185639700067,3,0.5768715409994911,1.8802224749820768,403.6976947029998
faceWord_exp,volcano,12,y,336,Monday,female,0.6887170039990451,image_stim_n.png,416.4303920309994,32,4.59,21,KKF,42,22,0.695684299000277,neg,42,415.7416750270004,180,1,416.2493307549994,412.71437673000037,412.0186924310001,3,0.5076557279990084,2.1987551193617842,413.7148431810001
faceWord_exp,reporter,12,y,180,Monday,female,0.6903287400000409,image_stim_n.png,429.0474488680011,32,4.57,21,KKF,43,22,0.6967135060003784,neg,42,428.35712012800104,336,1,428.9344319949996,422.7309392850002,422.0342257789998,3,0.5773118669985706,0.7962654471128737,423.7315198310007
faceWord_exp,park,11,b,180,Monday,female,0.6899677410001459,image_stim_p.png,439.0638761400005,31,7.0,21,KKF,44,21,0.6952912910001032,pos,42,438.37390839900036,336,1,438.89948765400004,432.7471895430008,432.0518982520007,3,0.525579254999684,-1.9950971558262764,433.74780155900044
faceWord_exp,faucet,13,b,180,Monday,female,0.7037683889993787,image_stim_p.png,449.0969351570002,41,5.55,21,KKF,45,21,0.693223850999857,neu,42,448.3931667680008,336,1,448.81640336300006,442.7639430199997,442.07071916899986,3,0.4232365949992527,-0.123291752025302,443.764360131001
faceWord_exp,shame,12,y,180,Monday,female,0.6900823380001384,image_stim_n.png,459.11372236900024,32,2.62,21,KKF,46,22,0.6956634590005706,neg,42,458.4236400310001,336,1,458.7670199439999,452.7971228080005,452.1014593489999,3,0.34337991299980786,4.2618443246155895,453.7976498810003
faceWord_exp,cold,12,y,180,Monday,female,0.6882849550001993,image_stim_n.png,469.1299209000008,32,4.32,21,KKF,47,22,0.6959544810015359,neg,42,468.4416359450006,336,1,469.4320908490008,462.81350442500116,462.1175499439996,3,0.9904549040002166,1.7592404876513306,463.8141520530007
faceWord_exp,pen,13,b,336,Monday,female,0.6907385159993282,image_stim_p.png,476.5457770459998,41,5.63,21,KKF,48,21,0.6961042759994598,neu,42,475.85503853000046,180,1,476.6146470349995,472.8302023979995,472.13409812200007,3,0.7596085049990506,-0.23071750329615884,473.83047009500115
faceWord_exp,tax,12,y,336,Monday,female,0.6897078269994381,image_stim_n.png,486.56304159200045,32,3.0,21,KKF,49,22,0.6949469989995123,neg,42,485.873333765001,180,1,486.4324101559996,482.84680013599973,482.1518531370002,3,0.5590763909985981,3.4211910580769755,483.8471392190004
faceWord_exp,cafeteria,13,b,180,Monday,female,0.690314932999172,image_stim_p.png,499.17991889599944,41,5.68,21,KKF,50,21,0.6960458550001931,neu,42,498.48960396300026,336,1,498.8488179770011,492.8631463370002,492.167100482,3,0.35921401400082686,-0.4971407339658378,493.8640397319996
faceWord_exp,car,11,b,336,Monday,female,0.6900727650008776,image_stim_p.png,506.59528001000035,31,6.63,21,KKF,51,21,0.6956305980002071,pos,42,505.9052072449995,180,1,506.61381909400006,502.87937610799963,502.1837455099994,3,0.7086118490005902,-1.4106928476010352,503.8804651850005
faceWord_exp,witness,13,y,336,Monday,female,0.7045392219988571,image_stim_n.png,516.6293483509999,42,5.61,21,KKF,52,22,0.6919110269991506,neu,42,515.924809129001,180,1,516.6002467340004,512.8961082650003,512.2041972380011,3,0.675437604999388,0.5990623206044929,513.8969267310003
faceWord_exp,coffee,11,b,180,Monday,female,0.6894474000000628,image_stim_p.png,529.2459510900007,31,7.0,21,KKF,53,21,0.6959359789998416,pos,42,528.5565036900007,336,1,529.0158516289994,522.9291224320004,522.2331864530006,3,0.45934793899868964,-1.8894778219780863,523.9299085670009
faceWord_exp,saxophone,11,b,180,Monday,female,0.6903881389989692,image_stim_p.png,539.262564396,31,6.32,21,KKF,54,21,0.6975062729998172,pos,42,538.572176257001,336,1,538.9817344399999,532.946115404,532.2486091310002,3,0.40955818299880775,-1.100912149643323,533.9463363119994
faceWord_exp,reality,13,b,180,Monday,female,0.6903420030012057,image_stim_p.png,549.2790885850009,41,5.73,21,KKF,55,21,0.6956102460007969,neu,42,548.5887465819997,336,1,549.0486160020009,542.9626774530007,542.2670672069999,3,0.45986942000126874,0.30770997164376424,543.9630933999997
faceWord_exp,toe,13,y,336,Monday,female,0.6900587740001356,image_stim_n.png,556.6955573659998,42,5.24,21,KKF,56,22,0.6964552970002842,neu,42,556.0054985919996,180,1,556.5324992050009,552.9791649609997,552.2827096639994,3,0.5270006130012916,0.6016604903777263,553.9795303730007
faceWord_exp,criminal,12,y,336,Monday,female,0.6902953050012002,image_stim_n.png,566.7122245570008,32,2.11,21,KKF,57,22,0.6953801710005791,neg,42,566.0219292519996,180,1,566.581166158001,562.9955144430005,562.3001342719999,3,0.559236906001388,3.6129749181587063,563.9960565479996
faceWord_exp,joy,11,b,336,Monday,female,0.690134186999785,image_stim_p.png,576.7288196600002,31,8.21,21,KKF,58,21,0.6961868800008233,pos,42,576.0386854730004,180,1,576.3657844570007,573.0122252740002,572.3160383939994,3,0.3270989840002585,-3.230607919269787,574.0124625700009
faceWord_exp,bird,11,b,180,Monday,female,0.7050633790004213,image_stim_p.png,589.3620083240003,31,6.75,21,KKF,59,21,0.694332436998593,pos,42,588.6569449449999,336,1,589.1993684770005,583.0278496009996,582.333517164001,3,0.5424235320006119,-1.0841943171680315,584.028987093001
faceWord_exp,hope,11,b,336,Monday,female,0.6903163220013084,image_stim_p.png,596.7786415450009,31,7.48,21,KKF,60,21,0.6956319139990228,pos,42,596.0883252229996,180,1,596.6816037179997,593.0614878169999,592.3658559030009,3,0.5932784950000496,-2.2287379941341,594.0626098779994
