word_trigger,duration_measured_img,correct_resp,word,img,onset_img,ID,scan day,pause_trigger,condition,age,delay_frames_before,word_score_warriner,offset_img,offset_word,duration_frames,delay_frames_after,word_label,img_trigger,key_t,session,pause_trigger_t,gender,onset_word,duration_measured_word,word_score_pc,no,response,rt
11,0.701131199952215,1,hygiene,image_stim_p.png,348.31272940000053,AHJ,Monday,31,faceWord_exp,22,336,6.38,349.01386059995275,342.68412089999765,42,180,pos,21,348.81531119998544,6,343.68456049996894,male,341.990712699946,0.6934082000516355,-1.613773182399739,35,b,0.5025817999849096
12,0.7007751999772154,1,mayor,image_stim_n.png,358.3405606999877,AHJ,Monday,32,faceWord_exp,22,336,4.59,359.0413358999649,352.71198829996865,42,180,neg,22,358.8925584999961,6,353.7123089999659,male,352.0181855999981,0.6938026999705471,0.3271241198863318,36,y,0.5519978000083938
12,0.7032555000041611,1,old,image_stim_n.png,365.76769359997706,AHJ,Monday,32,faceWord_exp,22,180,3.19,366.4709490999812,362.73961149994284,42,336,neg,22,366.20590589998756,6,363.7400505999685,male,362.0445741000003,0.695037399942521,1.5556418242275696,37,y,0.43821230001049116
12,0.7013516000006348,1,gunshot,image_stim_n.png,375.7969815999968,AHJ,Monday,32,faceWord_exp,22,180,2.79,376.49833319999743,372.76735989999725,42,336,neg,22,376.2169812999782,6,373.7673914999468,male,372.0746287999791,0.6927311000181362,3.2726955917764444,38,y,0.4199996999814175
11,0.7009608000516891,1,party,image_stim_p.png,385.8250215999433,AHJ,Monday,31,faceWord_exp,22,180,7.18,386.525982399995,382.7950726999552,42,336,pos,21,386.29395249998197,6,383.7959393999772,male,382.1008763999562,0.694196299999021,-2.3202480308548075,39,b,0.46893090003868565
13,0.7005912999738939,0,advice,image_stim_p.png,395.8535109999939,AHJ,Monday,41,faceWord_exp,22,180,5.78,396.5541022999678,392.8227537999628,42,336,neu,21,396.43888399994466,6,393.82269629999064,male,392.12941479997244,0.6933389999903738,-0.30581232848456497,40,y,0.5853729999507777
13,0.7017892000149004,1,scooter,image_stim_n.png,405.87961499998346,AHJ,Monday,42,faceWord_exp,22,180,5.42,406.58140419999836,402.8506749999942,42,336,neu,22,406.3660994999809,6,403.85094349994324,male,402.1573300999589,0.6933449000352994,-0.9209473384247756,41,y,0.48648449999745935
13,0.699401999998372,1,table,image_stim_p.png,415.91008129995316,AHJ,Monday,41,faceWord_exp,22,180,5.49,416.60948329995153,412.87812919996213,42,336,neu,21,416.5104309999733,6,413.87881969998125,male,412.1846575999516,0.6934716000105254,0.1576901893660491,42,b,0.6003497000201605
11,0.6997683999943547,1,dolphin,image_stim_p.png,428.53634209994925,AHJ,Monday,31,faceWord_exp,22,336,6.67,429.2361104999436,422.906141799991,42,180,pos,21,428.93677909998223,6,423.90647619997617,male,422.2122815999901,0.6938602000009269,-2.035068499528653,43,b,0.40043700003298
13,0.7013801999855787,1,role,image_stim_n.png,438.5621979999705,AHJ,Monday,42,faceWord_exp,22,336,5.1,439.2635781999561,432.93337519996567,42,180,neu,22,439.01525719999336,6,433.93416379997507,male,432.2389595999848,0.6944155999808572,0.07641955756997082,44,y,0.4530592000228353
12,0.7008761999895796,1,woe,image_stim_n.png,445.99154389998876,AHJ,Monday,32,faceWord_exp,22,180,3.38,446.69242009997834,442.9616135999677,42,336,neg,22,446.54380919999676,6,443.9616039999528,male,442.2674655999872,0.6941479999804869,4.673386290788297,45,y,0.5522653000080027
12,0.7008100000093691,1,politician,image_stim_n.png,456.0197467999533,AHJ,Monday,32,faceWord_exp,22,180,3.25,456.72055679996265,452.98941689997446,42,336,neg,22,456.42195999994874,6,453.9897491999436,male,452.29668939998373,0.692727499990724,1.7380634654586231,46,y,0.4022131999954581
11,0.7011104999692179,1,elm,image_stim_p.png,466.0471882999991,AHJ,Monday,31,faceWord_exp,22,180,6.32,466.7482987999683,463.0166852999828,42,336,pos,21,466.3832201999612,6,464.01724269997794,male,462.32318599999417,0.6934992999886163,-1.1812540207039297,47,b,0.3360318999621086
12,0.7009690999984741,1,funeral,image_stim_n.png,478.6736172999954,AHJ,Monday,32,faceWord_exp,22,336,2.07,479.37458639999386,473.0448015999864,42,180,neg,22,478.9594197999686,6,474.04515239998,male,472.3510031999904,0.6937983999960124,4.494524106175375,48,y,0.28580249997321516
11,0.6990643999888562,1,pumpkin,image_stim_p.png,486.10471519996645,AHJ,Monday,31,faceWord_exp,22,180,7.0,486.8037795999553,483.07314719998976,42,336,pos,21,486.3713648999692,6,484.0725294999429,male,482.37937859998783,0.6937686000019312,-1.1380831950062478,49,b,0.2666497000027448
12,0.7016165999812074,1,prison,image_stim_n.png,498.7285698999767,AHJ,Monday,32,faceWord_exp,22,336,1.94,499.4301864999579,493.0996983999503,42,180,neg,22,499.18138819996966,6,494.1007140999427,male,492.4068726999685,0.6928256999817677,3.587794463102913,50,y,0.4528182999929413
13,0.7005684000323527,1,era,image_stim_n.png,506.15866799996,AHJ,Monday,42,faceWord_exp,22,180,5.29,506.85923639999237,503.1279970999458,42,336,neu,22,506.67753289995017,6,504.12843809998594,male,502.4335230999859,0.6944739999598823,0.38949539348709145,51,y,0.5188648999901488
13,0.7010545999510214,1,big,image_stim_p.png,516.1854893999989,AHJ,Monday,41,faceWord_exp,22,180,5.64,516.8865439999499,513.1553356999648,42,336,neu,21,516.6545715999673,6,514.1562926999759,male,512.460741799965,0.6945938999997452,0.6345811289687322,52,b,0.4690821999683976
11,0.70095810003113,1,honeymoon,image_stim_p.png,528.8119275999488,AHJ,Monday,31,faceWord_exp,22,336,7.53,529.51288569998,523.1835210999707,42,180,pos,21,529.1150486999541,6,524.1839692999492,male,522.4908161999774,0.6927048999932595,-3.0889019952949432,53,b,0.3031211000052281
11,0.706221500004176,1,camera,image_stim_p.png,538.8344870999572,AHJ,Monday,31,faceWord_exp,22,336,6.61,539.5407085999614,533.211332899984,42,180,pos,21,539.1257147999713,6,534.2112606999581,male,532.5181955999578,0.6931373000261374,-1.0219663684796234,54,b,0.291227700014133
13,0.7005017999908887,1,church,image_stim_p.png,546.2693208999699,AHJ,Monday,41,faceWord_exp,22,180,5.21,546.9698226999608,543.2384352999507,42,336,neu,21,546.5880100999493,6,544.2386388999876,male,542.542390699964,0.6960445999866351,0.4070035035588155,55,b,0.318689199979417
13,0.7012238000170328,1,accordion,image_stim_n.png,558.8948645999772,AHJ,Monday,42,faceWord_exp,22,336,5.26,559.5960883999942,553.2669958999613,42,180,neu,22,559.3143852999783,6,554.2666632999899,male,552.5750412999769,0.6919545999844559,-0.8574934623041074,56,y,0.4195207000011578
12,0.7012528000050224,1,rumor,image_stim_n.png,568.922995299974,AHJ,Monday,32,faceWord_exp,22,336,3.14,569.624248099979,563.294448599976,42,180,neg,22,569.1586432999466,6,564.2950478999992,male,562.6009880999918,0.6934604999842122,3.1728286127179004,57,y,0.2356479999725707
11,0.7010441000456922,0,cheese,image_stim_p.png,578.9509474999504,AHJ,Monday,31,faceWord_exp,22,336,6.81,579.6519915999961,573.3218345999485,42,180,pos,21,579.3869272999582,6,574.3226590999984,male,572.6291122999974,0.6927222999511287,-1.5755240884938977,58,y,0.4359798000077717
13,0.7004417999996804,0,soccer,image_stim_n.png,588.9788945999462,AHJ,Monday,42,faceWord_exp,22,336,5.84,589.6793363999459,583.3499634999898,42,180,neu,22,589.2480094999773,6,584.3501880999538,male,582.6567230999935,0.6932403999962844,-0.6912617476649511,59,b,0.26911490003112704
13,0.6992578000063077,0,quantity,image_stim_n.png,599.0078941999818,AHJ,Monday,42,faceWord_exp,22,336,5.33,599.7071519999881,593.3776359999902,42,180,neu,22,599.259004099993,6,594.3776603999431,male,592.6882471999852,0.6893888000049628,-0.1985745460766808,60,b,0.25110990001121536
