response,word_label,scan day,pause_trigger_t,offset_word,onset_img,age,delay_frames_before,word_score_warriner,word_score_pc,delay_frames_after,rt,word_trigger,word,img_trigger,key_t,gender,ID,duration_measured_word,img,onset_word,duration_frames,condition,correct_resp,no,session,offset_img,pause_trigger,duration_measured_img
b,neu,Monday,474.57161889999406,473.5705325000017,479.2288247999968,23,336,5.17,-0.08455950357770388,180,0.6568999000010081,13,keyboard,21,479.8857246999978,male,74,0.6915200000075856,image_stim_p.png,472.87901249999413,42,faceWord_exp,1,48,1,479.9178542000009,41,0.689029400004074
b,neu,Monday,484.6198439,483.618934099999,486.674451999992,23,180,5.42,-0.277657621999038,336,0.5959946000075433,13,man,21,487.27044659999956,male,74,0.6944858000060776,image_stim_p.png,482.92444829999295,42,faceWord_exp,1,49,1,487.35209879999456,41,0.6776468000025488
y,neg,Monday,494.6524098999944,493.65127190000203,499.30935379999573,23,336,4.55,0.7573178762670367,180,0.6255759000050602,12,meeting,22,499.9349297000008,male,74,0.6920856000069762,image_stim_n.png,492.95918629999505,42,faceWord_exp,1,50,1,499.9999867000006,32,0.6906329000048572
b,neu,Monday,504.7010639999935,503.70032259999425,509.35272549999354,23,336,5.89,-0.8050043475134195,180,0.49770180000632536,13,famous,21,509.85042729999986,male,74,0.6929667999938829,image_stim_p.png,503.00735580000037,42,faceWord_exp,1,51,1,510.0320586000016,41,0.6793331000080798
b,pos,Monday,514.7331368000014,513.7322735999915,519.3870211999892,23,336,6.9,-1.6708771386143015,180,0.6459358000138309,11,pineapple,21,520.0329570000031,male,74,0.691934599992237,image_stim_p.png,513.0403389999992,42,faceWord_exp,1,52,1,520.0643216999888,31,0.6773004999995464
b,pos,Monday,524.7653291999886,523.7642533999897,529.4191084999911,23,336,6.47,-1.0543324261381863,180,0.5788757999980589,11,oak,21,529.9979842999892,male,74,0.6934190999891143,image_stim_p.png,523.0708343000006,42,faceWord_exp,1,53,1,530.0962640999933,31,0.6771556000021519
y,neg,Monday,534.7973015000025,533.7961529000022,539.4490869000001,23,336,4.9,0.2016963621838916,180,0.7144101000012597,12,plot,22,540.1634970000014,male,74,0.6802769000059925,image_stim_n.png,533.1158759999962,42,faceWord_exp,1,54,1,540.1287465999922,32,0.6796596999920439
b,pos,Monday,544.8288048999966,543.8285665000003,549.4828798999952,23,336,7.0,-2.1296901000704778,180,0.5461292999971192,11,zoo,21,550.0290091999923,male,74,0.6835538000013912,image_stim_p.png,543.1450126999989,42,faceWord_exp,1,55,1,550.1607251999958,31,0.6778453000006266
b,pos,Monday,554.8613379000017,553.8602505000017,559.5139032000006,23,336,6.45,-2.2727319315779937,180,0.5139346999931149,11,pie,21,560.0278378999938,male,74,0.693352500005858,image_stim_p.png,553.1668979999959,42,faceWord_exp,1,56,1,560.1924834999954,31,0.6785802999947919
b,pos,Monday,564.8934292999911,563.8922859000013,569.5489133999945,23,336,8.47,-3.1501939707833047,180,0.3765923000028124,11,happy,21,569.9255056999973,male,74,0.6925309000071138,image_stim_p.png,563.1997549999942,42,faceWord_exp,1,57,1,570.240638599993,31,0.6917251999984728
b,pos,Monday,574.9416182999994,573.9405837999948,579.5957708999922,23,336,7.05,-2.146343780688921,180,0.41292850000900216,11,lemonade,21,580.0086994000012,male,74,0.6928444999939529,image_stim_p.png,573.2477393000008,42,faceWord_exp,1,58,1,580.2735671999981,31,0.6777963000058662
b,pos,Monday,584.9741585000011,583.972789099993,587.0277083999972,23,180,8.37,-3.2613064969771037,336,0.42958399999770336,11,fun,21,587.4572923999949,male,74,0.6928641999984393,image_stim_p.png,583.2799248999945,42,faceWord_exp,1,59,1,587.7059501999902,31,0.6782417999929748
y,neu,Monday,595.0063901999965,594.0051151999942,599.6606194999913,23,336,5.67,-0.9222259722889368,180,0.644705900005647,13,beer,22,600.305325399997,male,74,0.6932488000020385,image_stim_n.png,593.3118663999921,42,faceWord_exp,1,60,1,600.3539505999943,42,0.6933311000029789
