word_trigger,delay_frames_before,ID,offset_img,age,condition,word_score_pc,session,onset_word,scan day,response,no,word_label,pause_trigger_t,key_t,img_trigger,correct_resp,word_score_warriner,duration_measured_img,rt,duration_frames,gender,img,duration_measured_word,onset_img,delay_frames_after,offset_word,pause_trigger,word
13,180,2019102101,355.3953418243909,25,faceWord_exp,-0.23071750329615884,3,350.99758981342893,Monday,y,36,neu,352.6954884950537,355.2625271639554,22,1,5.63,0.6858528814045712,0.5530382209690288,42,male,image_stim_n.png,0.697575633879751,354.70948894298635,336,351.6951654473087,42,pen
13,180,2019102101,365.39580089226365,25,faceWord_exp,0.2046331385026182,3,360.9982522698119,Monday,b,37,neu,362.6960916031385,365.17947212653235,21,1,5.48,0.686148019391112,0.46981925365980715,42,male,image_stim_p.png,0.6973786614835262,364.70965287287254,336,361.69563093129545,41,glass
13,180,2019102101,375.39628145389725,25,faceWord_exp,-0.945340141786388,3,370.99844475113787,Monday,b,38,neu,372.69648362335283,375.21331226301845,22,0,5.58,0.6859164002817124,0.5029472094029188,42,male,image_stim_n.png,0.6976199046475813,374.71036505361553,336,371.69606465578545,42,tuba
11,180,2019102101,385.3967411633348,25,faceWord_exp,-1.6019047514101912,3,380.99906422011554,Monday,b,39,pos,382.69690547825303,385.34722855803557,21,1,7.25,0.6857893625274301,0.6362767572281882,42,male,image_stim_p.png,0.6974797140574083,384.7109518008074,336,381.69654393417295,31,family
11,336,2019102101,397.9973023746861,25,faceWord_exp,-1.728066945394655,3,390.9997610023711,Monday,b,40,pos,392.6974312729435,397.76429670862854,21,1,6.84,0.6860921998741105,0.4530865338165313,42,male,image_stim_p.png,0.6972317340550944,397.311210174812,180,391.6969927364262,31,computer
11,336,2019102101,407.99777491623536,25,faceWord_exp,-1.0930411682114536,3,401.00020435103215,Monday,b,41,pos,402.6978412581375,407.91483729239553,21,1,6.62,0.6850143045885488,0.6020766807487234,42,male,image_stim_p.png,0.697252906858921,407.3127606116468,180,401.6974572578911,31,goldfish
13,336,2019102101,417.99821762321517,25,faceWord_exp,0.20373950943912453,3,411.0004263460869,Monday,b,42,neu,412.69823488232214,417.8485932504991,21,1,5.72,0.6848003295017406,0.5351759567856789,42,male,image_stim_p.png,0.6975624810438603,417.3134172937134,180,411.69798882713076,41,plane
13,180,2019102101,425.39857037726324,25,faceWord_exp,0.13339963708933658,3,421.001184401568,Monday,y,43,neu,422.6989611784229,425.3322259243578,22,1,5.65,0.685317141818814,0.6189726889133453,42,male,image_stim_n.png,0.6973087264923379,424.7132532354444,336,421.69849312806036,42,pencil
12,336,2019102101,437.99912709731143,25,faceWord_exp,4.2618443246155895,3,431.0014067174634,Monday,y,44,neg,432.69921364972834,437.8327741752146,22,1,2.62,0.6849703546613455,0.518617432564497,42,male,image_stim_n.png,0.697450841893442,437.3141567426501,180,431.69885755935684,32,shame
12,336,2019102101,447.99960637581535,25,faceWord_exp,0.7962654471128737,3,441.001714366721,Monday,y,45,neg,442.69967688806355,447.86658864759374,22,1,4.57,0.6850964300101623,0.5520787017885596,42,male,image_stim_n.png,0.6975692178821191,447.3145099458052,180,441.6992835846031,32,reporter
