word_score_warriner,img_trigger,rt,age,duration_measured_img,condition,duration_measured_word,response,onset_img,key_t,gender,duration_frames,img,session,word_label,word_trigger,pause_trigger_t,offset_img,word,ID,word_score_pc,no,delay_frames_after,correct_resp,onset_word,scan day,offset_word,delay_frames_before,pause_trigger
5.3,22,0.5545456280087819,25,0.7026503670058446,faceWord_exp,0.6953139559918782,y,479.3171126459929,479.8716582740017,female,42,image_stim_n.png,4,neu,13,474.6848086789978,480.01976301299874,journalist,77,0.18094025084207666,48,180,1,472.98834398700274,Monday,473.6836579429946,336,42
4.16,22,0.5071182399988174,25,0.703016554005444,faceWord_exp,0.6949420510063646,y,486.75314174199593,487.26025998199475,female,42,image_stim_n.png,4,neg,12,484.7219445160008,487.4561582960014,saw,77,-0.10198134801944247,49,336,1,483.0264620779926,Monday,483.721404128999,180,32
7.05,21,0.5418658599955961,25,0.7065215280017583,faceWord_exp,0.6977669890038669,b,496.8711693399964,497.413035199992,female,42,image_stim_p.png,4,pos,11,494.84392417599156,497.5776908679982,heroism,77,-2.30162279277581,50,336,1,493.1457231279928,Monday,493.8434901169967,180,31
3.52,22,0.27548228899831884,25,0.6905771460005781,faceWord_exp,0.6967529980029212,y,509.50911332799296,509.7845956169913,female,42,image_stim_n.png,4,neg,12,504.8810608089989,510.19969047399354,battle,77,3.668156535681199,51,180,1,503.1832298669906,Monday,503.8799828649935,336,32
6.71,21,0.47541912501037586,25,0.7060020710050594,faceWord_exp,0.6949961409991374,b,519.5317071259924,520.0071262510028,female,42,image_stim_p.png,4,pos,11,514.9020675159991,520.2377091969975,bicycle,77,-1.301667818567906,52,180,1,513.2071290739987,Monday,513.9021252149978,336,31
6.68,21,0.5255593579931883,25,0.6900404929911019,faceWord_exp,0.6966749999992317,b,529.569251879002,530.0948112369952,female,42,image_stim_p.png,4,pos,11,524.9403011209943,530.2592923719931,wonder,77,-2.303583541830637,53,180,1,523.2428859369975,Monday,523.9395609369967,336,31
7.0,21,0.39462710499356035,25,0.7071360819973052,faceWord_exp,0.6961373279918917,b,539.5912166530034,539.9858437579969,female,42,image_stim_p.png,4,pos,11,534.9632967229991,540.2983527350007,dog,77,-1.7294291477603156,54,180,1,533.2662249370042,Monday,533.962362264996,336,31
5.09,21,0.5079846559965517,25,0.7034233949962072,faceWord_exp,0.6957286020042375,b,549.6319524830033,550.1399371389998,female,42,image_stim_p.png,4,neu,13,545.0014565939928,550.3353758779995,put,77,0.3545861367636661,55,180,1,543.3042692879972,Monday,543.9999978900014,336,41
3.52,22,0.6409864440065576,25,0.7044660560059128,faceWord_exp,0.6955905040085781,y,557.068839102998,557.7098255470046,female,42,image_stim_n.png,4,neg,12,555.0395872429945,557.7733051590039,court,77,2.0765857872261098,56,336,1,553.3428344449931,Monday,554.0384249490016,180,32
6.26,21,0.44293004399514757,25,0.7066119350056397,faceWord_exp,0.6958684270066442,y,569.7055147759966,570.1484448199917,female,42,image_stim_p.png,4,pos,11,565.0774558849953,570.4121267110022,lust,77,-1.426145970237633,57,180,0,563.3806337479909,Monday,564.0765021749976,336,31
6.53,21,0.44485040300060064,25,0.7070402529934654,faceWord_exp,0.6955734729999676,b,577.1423719290033,577.5872223320039,female,42,image_stim_p.png,4,pos,11,575.1157845269918,577.8494121819967,bonfire,77,-1.7974288604529352,58,336,1,573.4191854759993,Monday,574.1147589489992,180,31
5.95,22,0.40811372399912216,25,0.7057568789896322,faceWord_exp,0.6916190830088453,y,589.7830135090044,590.1911272330035,female,42,image_stim_n.png,4,neu,13,585.1537156909908,590.488770387994,worker,77,0.0196438746392397,59,180,1,583.4610011649929,Monday,584.1526202480018,336,42
5.91,21,0.46211576100904495,25,0.6916464500100119,faceWord_exp,0.695048499997938,b,597.2174077249947,597.6795234860037,female,42,image_stim_p.png,4,neu,13,595.1920734919986,597.9090541750047,team,77,-0.9453395472380092,60,336,1,593.4949994219933,Monday,594.1900479219912,180,41
