delay_frames_after,onset_word,duration_frames,offset_img,key_t,rt,no,onset_img,ID,age,word_label,word,img,condition,session,pause_trigger_t,correct_resp,gender,pause_trigger,delay_frames_before,img_trigger,response,scan day,word_trigger,offset_word,duration_measured_word,word_score_pc,word_score_warriner,duration_measured_img
336,451.0029956505168,42,455.40066778170876,455.4512114452664,0.7243215516209602,46,454.7268898936454,2019102204,23,neg,dread,image_stim_n.png,faceWord_exp,5,452.700864497805,1,female,32,180,22,y,Tuesday,12,451.70050327456556,0.6975076240487397,4.006417686109669,3.0,0.6737778880633414
336,461.00383101939224,42,465.40110118547454,465.2848104026634,0.5636766620445997,47,464.7211337406188,2019102204,23,neg,ambulance,image_stim_n.png,faceWord_exp,5,462.70133286877535,1,female,32,180,22,y,Tuesday,12,461.7009158260189,0.6970848066266626,2.2468136409924253,3.71,0.6799674448557198
180,471.00384802185,42,478.00165790552273,477.81875159195624,0.4923979511950165,48,477.3263536407612,2019102204,23,pos,bed,image_stim_p.png,faceWord_exp,5,472.7017775005661,1,female,31,336,21,b,Tuesday,11,471.7013675153721,0.6975194935221225,-1.962809513975644,7.16,0.6753042647615075
180,481.00443091942,42,488.0021939659491,488.2361068604514,0.9089807281270623,49,487.32712613232434,2019102204,23,neg,banker,image_stim_n.png,faceWord_exp,5,482.7021611800883,1,female,32,336,22,y,Tuesday,12,481.70183652825654,0.6974056088365614,0.8708146708303101,4.89,0.6750678336247802
336,491.0052181680221,42,495.4024613867514,495.50298987608403,0.7756858267821372,50,494.7273040493019,2019102204,23,neu,engineer,image_stim_p.png,faceWord_exp,5,492.70276108011603,1,female,41,180,21,b,Tuesday,13,491.7022490797099,0.6970309116877615,-0.41434578466507305,5.79,0.675157337449491
180,501.00553704518825,42,508.00301938992925,507.90342796361074,0.5820172424428165,51,507.3214107211679,2019102204,23,pos,water,image_stim_p.png,faceWord_exp,5,502.70316464919597,1,female,31,336,21,b,Tuesday,11,501.7027312454302,0.6971942002419382,-1.2320142343270626,7.0,0.6816086687613279
180,511.00610261945985,42,518.0034951395355,517.8706320379861,0.5420616543851793,52,517.3285703836009,2019102204,23,neg,dangerous,image_stim_n.png,faceWord_exp,5,512.7035890703555,1,female,32,336,22,y,Tuesday,12,511.70317940600216,0.6970767865423113,3.17672342877373,2.33,0.6749247559346259
336,521.0061449653003,42,525.4038668209687,525.6377790737897,0.9095665127970278,53,524.7282125609927,2019102204,23,pos,drum,image_stim_p.png,faceWord_exp,5,522.7041796671692,1,female,31,180,21,b,Tuesday,11,521.7037565291394,0.6976115638390183,-1.4373817092238501,6.05,0.6756542599759996
336,531.0068045346998,42,535.404286751058,535.3214283653069,0.598064408171922,54,534.723363957135,2019102204,23,pos,morning,image_stim_p.png,faceWord_exp,5,532.7046717777848,1,female,31,180,21,b,Tuesday,11,531.7041860832833,0.6973815485835075,-1.211925852261804,6.41,0.6809227939229459
336,541.0073646551464,42,545.4047403652221,545.1884728726,0.46504635899327695,55,544.7234265136067,2019102204,23,pos,peaceful,image_stim_p.png,faceWord_exp,5,542.7050102239009,1,female,31,180,21,b,Tuesday,11,541.7045710459352,0.6972063907887787,-2.641671297166366,8.0,0.681313851615414
336,551.0073332164902,42,555.405222851783,555.6558049472515,0.9274932583793998,56,554.728311688872,2019102204,23,neu,corn,image_stim_n.png,faceWord_exp,5,552.705400640145,1,female,42,180,22,y,Tuesday,13,551.7050012415275,0.6976680250372738,-1.235914274808286,5.95,0.676911162910983
180,561.0101354233921,42,568.0058126144577,568.0729975691065,0.7490640599280596,57,567.3239335091785,2019102204,23,neu,newspaper,image_stim_n.png,faceWord_exp,5,562.706028129207,1,female,42,336,22,y,Tuesday,13,561.7055135625415,0.6953781391493976,0.3309936143559913,5.11,0.6818791052792221
180,571.0082969062496,42,578.006254038075,577.8901050498243,0.5588328703306615,58,577.3312721794937,2019102204,23,pos,cash,image_stim_p.png,faceWord_exp,5,572.7063713874668,1,female,31,336,21,b,Tuesday,11,571.7059209812433,0.6976240749936551,-1.6872526925643307,7.51,0.6749818585813046
336,581.0089430017397,42,585.4065846567973,585.4904834039044,0.7594140996225178,59,584.7310693042818,2019102204,23,neg,ant,image_stim_n.png,faceWord_exp,5,582.7066748663783,1,female,32,180,22,y,Tuesday,12,581.7064146958292,0.6974716940894723,1.5300907112092572,3.9,0.6755153525155038
336,591.0091531272046,42,595.4070212685037,595.7243857120629,0.9913848580326885,60,594.7330008540303,2019102204,23,pos,tea,image_stim_p.png,faceWord_exp,5,592.7072818242013,1,female,31,180,21,b,Tuesday,11,591.7068711973261,0.697718070121482,-1.410303556989907,6.56,0.6740204144734889
