pause_trigger_t,word_score_warriner,scan day,pause_trigger,age,delay_frames_before,response,word_label,key_t,onset_img,word_score_pc,gender,duration_frames,rt,img_trigger,onset_word,no,duration_measured_word,word,session,word_trigger,correct_resp,offset_img,img,condition,delay_frames_after,duration_measured_img,ID,offset_word
442.6904220664874,4.57,Wednesday,32,23,180,y,neg,445.24060322367586,444.7056268057786,0.2032181950076048,female,42,0.5349764178972691,22,440.9924694900401,45,0.6975631227251142,lab,2,12,1,445.3902012906037,image_stim_n.png,faceWord_exp,336,0.6845744848251343,2019102308,441.6900326127652
452.6909353500232,5.82,Wednesday,41,23,336,b,neu,457.97452060924843,457.3058287187014,-0.6680004122251881,female,42,0.668691890547052,21,450.99306393647566,46,0.6974319145083427,monkey,2,13,1,457.9907974693924,image_stim_p.png,faceWord_exp,180,0.6849687506910414,2019102308,451.690495850984
462.69141527009197,3.57,Wednesday,32,23,180,y,neg,465.80828574229963,464.7055972919334,2.483224745184551,female,42,1.1026884503662586,22,460.993217921583,47,0.6977690777275711,cough,2,12,1,465.39111172710545,image_stim_n.png,faceWord_exp,336,0.685514435172081,2019102308,461.69098699931055
472.69178162608296,5.65,Wednesday,42,23,336,,neu,,477.30545177613385,0.1106807997481866,female,42,,22,470.99408537056297,48,0.697302631335333,theory,2,13,,477.9917557053268,image_stim_n.png,faceWord_exp,180,0.6863039291929454,2019102308,471.6913880018983
482.69228368159384,5.97,Wednesday,42,23,336,y,neu,487.75924696191214,487.3061928290408,-0.02119054453060663,female,42,0.4530541328713298,22,480.99442445859313,49,0.6974514834582806,power,2,13,1,487.99217371060513,image_stim_n.png,faceWord_exp,180,0.6859808815643191,2019102308,481.6918759420514
492.69271483970806,4.29,Wednesday,32,23,180,y,neg,495.459711098345,494.70658440026455,2.351878020671037,female,42,0.7531266980804503,22,490.995122844819,50,0.6971999746747315,tired,2,12,1,495.39251812384464,image_stim_n.png,faceWord_exp,336,0.6859337235800922,2019102308,491.6923228194937
502.6931033311412,6.4,Wednesday,31,23,336,b,pos,507.7601198644843,507.30773171712644,-1.0752281295040744,female,42,0.45238814735785127,21,500.9953753161244,51,0.6974441050551832,mercy,2,11,1,507.99317910452373,image_stim_p.png,faceWord_exp,180,0.6854473873972893,2019102308,501.6928194211796
512.6935643237084,4.43,Wednesday,32,23,336,y,neg,517.9272856994066,517.308756679995,-0.14866519221167074,female,42,0.6185290194116533,22,510.99547251919284,52,0.6977732479572296,van,2,12,1,517.9935162675101,image_stim_n.png,faceWord_exp,180,0.6847595875151455,2019102308,511.6932457671501
522.6940817777067,7.5,Wednesday,31,23,336,b,pos,527.8277536213864,527.309460519813,-1.7608811602119443,female,42,0.518293101573363,21,520.9964702138677,53,0.6972394331824034,summer,2,11,1,527.9940093404148,image_stim_p.png,faceWord_exp,180,0.6845488206017762,2019102308,521.6937096470501
532.6945029909257,5.62,Wednesday,42,23,180,y,neu,535.3612790510524,534.7095075494144,-0.18776275500974607,female,42,0.6517715016379952,22,530.9967114571482,54,0.6974639946129173,speech,2,13,1,535.3943126909435,image_stim_n.png,faceWord_exp,336,0.6848051415290684,2019102308,531.6941754517611
542.694932224229,4.35,Wednesday,32,23,336,y,neg,547.8452806472778,547.3094755976927,2.166481281776448,female,42,0.5358050495851785,22,540.9970072365832,55,0.697625037515536,plea,2,12,1,547.9949877869803,image_stim_n.png,faceWord_exp,180,0.6855121892876923,2019102308,541.6946322740987
552.6953550414182,5.94,Wednesday,42,23,336,y,neu,559.0793266748078,557.3099385150708,-0.8400509032218062,female,42,1.769388159736991,22,550.9976023247,56,0.697507623815909,store,2,13,1,557.9953640880994,image_stim_n.png,faceWord_exp,180,0.6854255730286241,2019102308,551.6951099485159
562.6959924753755,6.17,Wednesday,31,23,180,b,pos,565.4295309938025,564.7108250840101,-1.3205598447631597,female,42,0.7187059097923338,21,560.9981964502949,57,0.6973914934787899,chicken,2,11,1,565.395718766842,image_stim_p.png,faceWord_exp,336,0.6848936828318983,2019102308,561.6955879437737
572.6963456785306,5.27,Wednesday,42,23,180,y,neu,575.3131638600025,574.7113842421677,0.17918122123944408,female,42,0.6017796178348362,22,570.9985166108236,58,0.6974758645519614,verb,2,13,1,575.3961820052937,image_stim_n.png,faceWord_exp,336,0.684797763125971,2019102308,571.6959924753755
582.6968140497338,5.5,Wednesday,41,23,180,b,neu,585.5472268899903,584.711219349876,-0.049892793833906636,female,42,0.836007540114224,21,580.9989281999879,59,0.6975368168205023,nose,2,13,1,585.3966539052781,image_stim_p.png,faceWord_exp,336,0.6854345554020256,2019102308,581.6964650168084
592.6972840249073,4.1,Wednesday,32,23,180,b,neg,595.2807079846971,594.7121288238559,1.472290472628449,female,42,0.5685791608411819,22,590.999665403273,60,0.6972872328478843,clang,2,12,0,595.3971171434969,image_stim_n.png,faceWord_exp,336,0.6849883196409792,2019102308,591.6969526361208
