age,condition,word_label,delay_frames_before,response,img_trigger,session,onset_word,offset_img,scan day,word,no,word_score_warriner,onset_img,duration_frames,rt,key_t,gender,word_trigger,offset_word,img,word_score_pc,delay_frames_after,correct_resp,pause_trigger,pause_trigger_t,ID,duration_measured_img,duration_measured_word
25,faceWord_exp,pos,180,b,21,1,482.8272494309931,487.2551364329993,Monday,lemonade,49,7.05,486.55104892300005,42,0.5564876139978878,487.10753653699794,female,11,483.5200231889976,image_stim_p.png,-2.146343780688921,336,1,31,484.5210890959934,77,0.7040875099992263,0.6927737580044777
25,faceWord_exp,pos,336,b,21,1,492.86236048499995,499.89439127699734,Monday,plum,50,6.15,499.18976128199574,42,0.4740353610031889,499.66379664299893,female,11,493.55750923999585,image_stim_p.png,-1.1648995537800455,180,1,31,494.55915399599326,77,0.7046299950015964,0.6951487549958983
25,faceWord_exp,neu,336,y,22,1,502.9003242189938,509.94880594999995,Monday,noun,51,5.22,509.2435321499943,42,0.5583168900047895,509.80184903999907,female,13,503.59618259699346,image_stim_n.png,0.11872473318936595,180,1,42,504.59728663699934,77,0.7052738000056706,0.6958583779996843
25,faceWord_exp,pos,180,b,21,1,512.9550241569959,517.3853293079956,Monday,fun,52,8.37,516.6807586089999,42,0.5909358389981207,517.271694447998,female,11,513.65103886,image_stim_p.png,-3.2613064969771037,336,1,31,514.6520300179982,77,0.704570698995667,0.6960147030040389
25,faceWord_exp,neg,180,y,22,1,522.9940266409976,527.4228731819967,Monday,alligator,53,4.23,526.7181348939994,42,0.5262996439996641,527.244434537999,female,12,523.6892807129989,image_stim_n.png,1.9014187675556817,336,1,32,524.6907146769954,77,0.7047382879973156,0.6952540720012621
25,faceWord_exp,neu,180,y,22,1,533.031277602,537.4457750919973,Monday,whale,54,5.81,536.7543478549997,42,0.5771582159941318,537.3315060709938,female,13,533.727174873995,image_stim_n.png,-0.8455595735963974,336,1,42,534.7272169839998,77,0.691427236997697,0.6958972719949088
25,faceWord_exp,neu,336,y,21,1,543.0536804649964,550.0845621169938,Monday,keyboard,55,5.17,549.3776527019945,42,0.6431688380034757,550.020821539998,female,13,543.7481584909983,image_stim_p.png,-0.08455950357770388,180,0,41,544.7496679629985,77,0.7069094149992452,0.6944780260018888
25,faceWord_exp,neg,336,y,22,1,553.0941872669937,560.1230122569978,Monday,meeting,56,4.55,559.418038044998,42,0.7230212790018413,560.1410593239998,female,12,553.7866239319992,image_stim_n.png,0.7573178762670367,180,1,32,554.7877807139957,77,0.7049742119997973,0.6924366650055163
25,faceWord_exp,neg,336,y,22,1,563.1301422069955,570.160892889995,Monday,sandpaper,57,4.95,569.4548827619947,42,0.7090937200046028,570.1639764819993,female,12,563.8247195539952,image_stim_n.png,0.5814463879932942,180,1,32,564.8258390859992,77,0.7060101280003437,0.6945773469997221
25,faceWord_exp,pos,336,b,21,1,573.1666884749939,580.1992088379993,Monday,oak,58,6.47,579.4940906819975,42,0.5575923599972157,580.0516830419947,female,11,573.8627085329936,image_stim_p.png,-1.0543324261381863,180,1,31,574.8639049919948,77,0.7051181560018449,0.6960200579997036
25,faceWord_exp,neg,180,y,22,1,583.2066351819958,587.636085950995,Monday,aggressive,59,3.08,586.9301689979984,42,0.3265171029997873,587.2566861009982,female,12,583.9008195019996,image_stim_n.png,2.166851165767892,336,1,32,584.9019697139956,77,0.7059169529966312,0.694184320003842
25,faceWord_exp,neg,336,y,22,1,593.2449400419937,600.2755751999939,Monday,policeman,60,4.21,599.5704062069999,42,0.5735525279960711,600.143958734996,female,12,593.939130642997,image_stim_n.png,0.397042668763988,180,1,32,594.9404933459955,77,0.7051689929940039,0.6941906010033563
