delay_frames_after,duration_measured_word,img_trigger,ID,session,response,scan day,word_trigger,img,delay_frames_before,word_label,pause_trigger_t,gender,correct_resp,pause_trigger,no,age,onset_img,word_score_pc,offset_img,onset_word,offset_word,condition,word,duration_measured_img,duration_frames,rt,word_score_warriner,key_t
336,0.6958413773681968,22,2019102205,1,y,Tuesday,12,image_stim_n.png,180,neg,442.70474844938144,female,1,32,45,25,444.71954609057866,1.7036686386059527,445.40456681116484,441.0085375078488,441.704378885217,faceWord_exp,jury,0.6850207205861807,42,0.8355353192891926,4.23,445.55508140986785
336,0.6973180298227817,21,2019102205,1,b,Tuesday,13,image_stim_p.png,180,neu,452.70518666505814,female,1,41,46,25,454.7204696799163,-1.3575770021145472,455.40503133274615,451.0075308305677,451.7048488603905,faceWord_exp,tomato,0.6845616528298706,42,0.6850630666594952,5.8,455.4055327465758
180,0.6972904407884926,22,2019102205,1,y,Tuesday,13,image_stim_n.png,336,neu,462.7056213519536,female,1,42,47,25,467.320808254648,-0.05916451699915906,468.0056919925846,461.0080085049849,461.7052989457734,faceWord_exp,embassy,0.6848837379366159,42,0.6186053704004735,5.3,467.9394136250485
336,0.6975605562329292,21,2019102205,1,b,Tuesday,11,image_stim_p.png,180,pos,472.70607175817713,female,1,31,48,25,474.7210798456799,-1.9273821271493088,475.4059244459495,471.00821702647954,471.70577758271247,faceWord_exp,sled,0.684844600269571,42,0.9187100159469992,6.35,475.6397898616269
336,0.6971152829937637,21,2019102205,1,b,Tuesday,11,image_stim_p.png,180,pos,482.7065946657676,female,1,31,49,25,484.7210208179895,-1.6708771386143015,485.40636939858086,481.0090976282954,481.7062129112892,faceWord_exp,pineapple,0.6853485805913806,42,0.6690656254068017,6.9,485.3900864433963
180,0.6973491474054754,22,2019102205,1,y,Tuesday,12,image_stim_n.png,336,neg,492.7070575833786,female,1,32,50,25,497.3217623201199,4.314775126713813,498.00695691560395,491.00931481155567,491.70666395896114,faceWord_exp,deceit,0.685194595484063,42,0.6857694729696959,2.89,498.0075317930896
180,0.6971467214170843,21,2019102205,1,b,Tuesday,13,image_stim_p.png,336,neu,502.7075131223537,female,1,41,51,25,507.3224610274192,0.26215401176465297,508.00742272031493,501.00996507750824,501.7071117989253,faceWord_exp,school,0.6849616928957403,42,0.6686752089299262,5.41,507.9911362363491
180,0.6959956833161414,21,2019102205,1,b,Tuesday,11,image_stim_p.png,336,pos,512.7079404308461,female,1,31,52,25,517.3228479146492,-2.1296901000704778,518.0078586905729,511.01157678756863,511.70757247088477,faceWord_exp,zoo,0.6850107759237289,42,0.6353967969771475,7.0,517.9582447116263
336,0.6974213281646371,21,2019102205,1,b,Tuesday,13,image_stim_p.png,180,neu,522.7084001402836,female,1,41,53,25,524.7233950749505,-0.8455595735963974,525.4082034244202,521.0106034737546,521.7080248019192,faceWord_exp,whale,0.6848083494696766,42,0.418496040860191,5.81,525.1418911158107
336,0.6974697692785412,22,2019102205,1,y,Tuesday,12,image_stim_n.png,180,neg,532.7088560000993,female,1,32,54,25,534.7236042378936,3.6605330306018913,535.4086823819671,531.0110849977937,531.7085547670722,faceWord_exp,tornado,0.6850781440734863,42,0.502078477293253,3.63,535.2256827151868
336,0.6975140399299562,21,2019102205,1,b,Tuesday,11,image_stim_p.png,180,pos,542.709226205945,female,1,31,55,25,544.7241390151903,-1.1443669013398097,545.4092370490544,541.0115078149829,541.7090218549129,faceWord_exp,moral,0.6850980338640511,42,0.6686633392237127,6.85,545.392802354414
180,0.697712937137112,21,2019102205,1,b,Tuesday,11,image_stim_p.png,336,pos,552.7097712487448,female,1,31,56,25,557.3250813393388,-2.8785481086132907,558.0097292878199,551.0117314141244,551.7094443512615,faceWord_exp,kiss,0.6846479484811425,42,0.4350410916376859,7.78,557.7601224309765
180,0.6972779294010252,22,2019102205,1,y,Tuesday,13,image_stim_n.png,336,neu,562.7102521311026,female,1,42,57,25,567.3250813393388,-1.1856791528275217,568.0101758444216,561.0125808983576,561.7098588277586,faceWord_exp,hamster,0.6850945050828159,42,0.5854158205911517,5.88,567.91049715993
336,0.6974014383740723,21,2019102205,1,b,Tuesday,11,image_stim_p.png,180,pos,572.7107326928526,female,1,31,58,25,574.7254533416126,-1.5151286486205269,575.4106004582718,571.0129084372893,571.7103098756634,faceWord_exp,lake,0.6851471166592091,42,0.7023363378830254,7.13,575.4277896794956
336,0.6974774685222656,22,2019102205,1,y,Tuesday,12,image_stim_n.png,180,neg,582.7111138058826,female,1,32,59,25,584.7259807402734,0.2016963621838916,585.4109260723926,581.0133104023989,581.7107878709212,faceWord_exp,plot,0.6849453321192414,42,0.5353337915148586,4.9,585.2613145317882
336,0.6971986915450543,21,2019102205,1,b,Tuesday,11,image_stim_p.png,180,pos,592.7116229187232,female,1,31,60,25,594.7263252818957,-2.146343780688921,595.4113889900036,591.0140139213763,591.7112126129214,faceWord_exp,lemonade,0.6850637081079185,42,0.45217930525541306,7.05,595.1785045871511
