no,img_trigger,session,duration_measured_word,duration_frames,offset_img,word_label,pause_trigger,offset_word,word_trigger,correct_resp,duration_measured_img,delay_frames_before,gender,delay_frames_after,age,condition,scan day,ID,img,onset_word,word,key_t,pause_trigger_t,response,word_score_pc,onset_img,rt,word_score_warriner
38,21,4,0.6973247666610405,42,378.0013274792582,pos,31,371.70103259792086,11,1,0.6857040291652083,336,male,180,25,faceWord_exp,Monday,2019102101,image_stim_p.png,371.0037078312598,banjo,377.8183788198512,372.7014053700259,b,-1.2316584124512135,377.31562345009297,0.5027553697582334,6.35
39,22,4,0.6971861800411716,42,388.00188086298294,neg,32,381.701480116928,12,1,0.6851233772467822,336,male,180,25,faceWord_exp,Monday,2019102101,image_stim_n.png,381.0042939368868,torment,387.96883054135833,382.70186636270955,y,4.5355840269859025,387.31675748573616,0.6520730556221679,2.53
40,22,4,0.6972837039502338,42,395.40211395779625,neg,32,391.701899405336,12,1,0.6858987560262904,180,male,336,25,faceWord_exp,Monday,2019102101,image_stim_n.png,391.0046157013858,snake,395.21916465682443,392.7022375308443,y,1.95458394600482,394.71621520176996,0.5029494550544769,4.03
41,21,4,0.6973866813350469,42,408.0026742067421,pos,31,401.70240113988984,11,1,0.6848478082101792,336,male,180,25,faceWord_exp,Monday,2019102101,image_stim_p.png,401.0050144585548,truce,407.75302660791203,402.7026924282545,b,-1.6859102219357711,407.3178263985319,0.4352002093801275,6.42
42,21,4,0.6973844357999042,42,418.0031576555921,pos,31,411.70285507501103,11,0,0.6847666453104466,336,male,180,25,faceWord_exp,Monday,2019102101,image_stim_p.png,411.0054706392111,lust,417.77011188934557,412.70324517041445,y,-1.426145970237633,417.31839101028163,0.45172087906394154,6.26
43,22,4,0.6975817291531712,42,428.00358785130084,neu,42,421.7033048396697,13,1,0.6854005503701046,336,male,180,25,faceWord_exp,Monday,2019102101,image_stim_n.png,421.00572311051656,boy,427.95406433870085,422.7036166592734,y,-0.9031069202434168,427.31818730093073,0.6358770377701148,5.84
44,22,4,0.6971306812483817,42,435.4039245652966,neg,32,431.7037526794011,12,1,0.68575632001739,180,male,336,25,faceWord_exp,Monday,2019102101,image_stim_n.png,431.0066219981527,stampede,435.27104061155114,432.7042130305199,y,2.7437052692255306,434.71816824527923,0.552872366271913,4.48
45,21,4,0.6973658293718472,42,445.40440576849505,neu,41,441.70423003309406,13,1,0.6852966104634106,180,male,336,25,faceWord_exp,Monday,2019102101,image_stim_p.png,441.0068642037222,elevator,445.1881469376385,442.70480908092577,b,0.1872293205875,444.71910915803164,0.46903777960687876,5.95
46,22,4,0.697715503629297,42,458.00500804244075,neu,42,451.7046836472582,13,1,0.6850669161649421,336,male,180,25,faceWord_exp,Monday,2019102101,image_stim_n.png,451.0069681436289,hand,457.87207661010325,452.70507245953195,y,-0.29144085929118746,457.3199411262758,0.5521354838274419,5.9
47,21,4,0.697302631335333,42,468.0053955714684,pos,31,461.7052184245549,11,1,0.685168931260705,336,male,180,25,faceWord_exp,Monday,2019102101,image_stim_p.png,461.0079157932196,heroism,468.0059364439221,462.70559729181696,b,-2.30162279277581,467.3202266402077,0.6857098037144169,7.05
48,22,4,0.6971762352623045,42,478.0058908900246,neg,32,471.7056142943911,12,1,0.6849074774654582,336,male,180,25,faceWord_exp,Monday,2019102101,image_stim_n.png,471.0084380591288,animosity,477.82285208511166,472.7059966905508,y,3.4698173961771306,477.32098341255914,0.5018686725525185,3.4
49,21,4,0.6974919044878334,42,485.40623177436646,neu,41,481.7060701542068,13,1,0.6846325499936938,180,male,336,25,faceWord_exp,Monday,2019102101,image_stim_p.png,481.008578249719,guard,485.4400841013994,482.7063771618996,b,0.29188517290671034,484.72159922437277,0.7184848770266399,5.89
