img_trigger,offset_word,pause_trigger_t,rt,word_score_warriner,key_t,session,onset_word,response,duration_measured_word,gender,duration_frames,delay_frames_after,word,onset_img,delay_frames_before,word_score_pc,word_label,scan day,pause_trigger,condition,age,no,img,offset_img,duration_measured_img,ID,correct_resp,word_trigger
21,483.36584312000195,484.3663178179995,0.6429472150048241,5.78,489.6346428570105,6,482.6702096900117,b,0.6956334299902664,female,42,180,advice,488.99169564200565,336,-0.30581232848456497,neu,Monday,41,faceWord_exp,23,49,image_stim_p.png,489.6824896430044,0.6907940009987215,K,1,13
22,493.38239125000837,494.3828819840128,0.5097577840060694,5.05,499.5175931210106,6,492.6866307520104,y,0.6957604979979806,female,42,180,bugle,499.0078353370045,336,-0.441124933220443,neu,Monday,42,faceWord_exp,23,50,image_stim_n.png,499.69896953301213,0.6911341960076243,K,1,13
21,503.39893288000894,504.399381523006,0.5599073810008122,5.89,509.5843738780095,6,502.70314032000897,b,0.6957925599999726,female,42,180,chair,509.0244664970087,336,-0.4928774877246448,neu,Monday,41,faceWord_exp,23,51,image_stim_p.png,509.71552099401015,0.6910544970014598,K,1,13
21,513.4154550200037,514.4160124030022,0.49315592600032687,7.18,516.9343107800087,6,512.7196825790015,b,0.695772441002191,female,42,336,party,516.4411548540083,180,-2.3202480308548075,pos,Monday,31,faceWord_exp,23,52,image_stim_p.png,517.1320452720101,0.6908904180017998,K,1,11
22,523.4319639050082,524.4324462390068,0.45754415399278514,5.89,529.5174928240012,6,522.7386833710043,y,0.6932805340038612,female,42,180,audience,529.0599486700085,336,-0.7656585604551551,neu,Monday,42,faceWord_exp,23,53,image_stim_n.png,529.7652321040077,0.7052834339992842,K,1,13
22,533.4651755439991,534.4656348860008,0.5428769090067362,2.53,537.0338566850114,6,532.7691555950005,y,0.6960199489985825,female,42,336,lost,536.4909797760047,180,3.7741942061665816,neg,Monday,32,faceWord_exp,23,54,image_stim_n.png,537.1818005400128,0.6908207640080946,K,1,12
21,543.4817603730044,544.4821847910061,0.39322740300849546,7.53,546.9005048820109,6,542.7866148330068,b,0.6951455399976112,female,42,336,honeymoon,546.5072774790024,180,-3.0889019952949432,pos,Monday,31,faceWord_exp,23,55,image_stim_p.png,547.1983236650121,0.6910461860097712,K,1,11
21,553.4982112819998,554.4986991870101,0.4426791160076391,5.1,559.5670622590114,6,552.8022165400034,b,0.695994741996401,female,42,180,role,559.1243831430038,336,0.07641955756997082,neu,Monday,41,faceWord_exp,23,56,image_stim_p.png,559.8148258940055,0.6904427510016831,K,1,13
22,563.5147542080085,564.5152220820019,0.5763322689890629,5.49,567.116982091,6,562.8190089429991,y,0.6957452650094638,female,42,336,table,566.5406498220109,180,0.1576901893660491,neu,Monday,42,faceWord_exp,23,57,image_stim_n.png,567.2317919360066,0.6911421139957383,K,1,13
22,573.5312971930107,574.5318259940104,0.47612200799630955,3.19,577.0332954650075,6,572.8351790750021,y,0.6961181180085987,female,42,336,old,576.5571734570112,180,1.5556418242275696,neg,Monday,32,faceWord_exp,23,58,image_stim_n.png,577.2479868760129,0.6908134190016426,K,1,12
22,583.5478332980128,584.5482615640067,0.4432787800033111,3.25,587.0166680200055,6,582.8527003240015,y,0.6951329740113579,female,42,336,politician,586.5733892400021,180,1.7380634654586231,neg,Monday,32,faceWord_exp,23,59,image_stim_n.png,587.2645429730037,0.6911537330015562,K,1,12
21,593.564347366002,594.5648340150074,0.523736867995467,6.37,599.716142935009,6,592.8708884280059,b,0.6934589379961835,female,42,180,parade,599.1924060670135,336,-2.3709211732995845,pos,Monday,31,faceWord_exp,23,60,image_stim_p.png,599.8976056850079,0.7051996179943671,K,1,11
